id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,long,lat,latitud,longitud,estado_geocodificacion
7,De La Rue,Freire 1765,(54 11) 4551-4884 / 4552-4048,info@hoteldelarue.com.ar,,,Freire,1765.0,Freire 1765,,,-34.569751,-58.461531,ok
8,Del Congreso,"Yrigoyen, Hipolito 2064",(54 11) 4952 7728 / 4952 0385,,,,"Yrigoyen, Hipolito",2064.0,"Yrigoyen, Hipolito 2064",,,-34.6092282,-58.3750538,ok
10,El Cabildo,Lavalle 748,(54 11) 4322-6695 / 6745,reservas@hotelelcabildo.com,,,Lavalle,748.0,Lavalle 748,,,-34.6023934,-58.3774146,ok
11,Fiorentino Hotel,Urquiza 187,(54 11) 4932-9641 / 4931-1368,mariasambade@hotmail.com.ar,,,Urquiza,187.0,Urquiza 187,,,-34.612507,-58.4101761,ok
14,Hispano Argentino,Catamarca 167,(54 11) 4931-5543 / 4932-3980,contacto@hhispanoargentino.com.ar,,,Catamarca,167.0,Catamarca 167,,,-34.6121107,-58.4071883,ok
15,Hotel Manzanares Plaza,Manzanares 2339,(54 11) 4702-6839,info.manzanares@gmail.com,,,Manzanares,2339.0,Manzanares 2339,,,-34.5469736,-58.4687123,ok
16,Hotel Quito,Alsina 2737,(54 11) 4957-5056,info@hotelquito.com.ar,http://hotelquito.com.ar/,,Alsina,2737.0,Alsina 2737,,,-34.6123058,-58.4048098,ok
18,Key's Hotel,Zapata 315,(54 11) 4778-3233 / 4772 8371,reservas@hotelkeys.com.ar,,,Zapata,315.0,Zapata 315,,,-34.5735315,-58.4408597,ok
19,La Fresque,De Mayo Av. 984,(54 11) 4331-3615,info@lafresquehotel.com,,,De Mayo Av.,984.0,De Mayo Av. 984,,,-34.608798,-58.3711432,ok
20,Llano,"Yrigoyen, Hipolito 3023",(54 11) 4861-1672,,,,"Yrigoyen, Hipolito",3023.0,"Yrigoyen, Hipolito 3023",,,-34.6149472,-58.4277257,ok
21,Milan,Montevideo 337,(54 11) 4373-0759 / 4374-1906,info@milanhotel.com.ar,www.milanhotel.com.ar,,Montevideo,337.0,Montevideo 337,,,-34.6052361,-58.3892173,ok
22,Omega,Paraguay 2991,(54 11) 4962-5431,reservashotelomega@gmail.com,,,Paraguay,2991.0,Paraguay 2991,,,-34.5956882,-58.409386,ok
23,Rio de la Plata,"Garay, Juan De Av. 1271",(54 11) 4305-3191 / 4306-8689,,,,"Garay, Juan De Av.",1271.0,"Garay, Juan De Av. 1271",,,-34.6312942,-58.4163481,ok
