id_celda,area_km2,delitos_ponderados,cant_paradas,densidad_delitos,densidad_paradas
385,0.0625,0.15,0.0,2.4,0.0
483,0.0625,0.15,0.0,2.4,0.0
671,0.0625,0.3,0.0,4.8,0.0
893,0.0625,0.15,0.0,2.4,0.0
991,0.0625,0.3,0.0,4.8,0.0
1439,0.0625,0.44999999999999996,0.0,7.199999999999999,0.0
1690,0.0625,0.15,0.0,2.4,0.0
1839,0.0625,5.1,0.0,81.6,0.0
1992,0.0625,0.15,0.0,2.4,0.0
2000,0.0625,0.75,0.0,12.0,0.0
2430,0.0625,0.15,0.0,2.4,0.0
2433,0.0625,0.15,0.0,2.4,0.0
2626,0.0625,0.15,0.0,2.4,0.0
2664,0.0625,0.15,0.0,2.4,0.0
2684,0.0625,0.15,0.0,2.4,0.0
2744,0.0625,0.15,0.0,2.4,0.0
2750,0.0625,0.15,0.0,2.4,0.0
2777,0.0625,0.3,0.0,4.8,0.0
2793,0.0625,0.15,0.0,2.4,0.0
2900,0.0625,0.15,0.0,2.4,0.0
3009,0.0625,0.15,0.0,2.4,0.0
3010,0.0625,0.15,0.0,2.4,0.0
3060,0.0625,0.3,0.0,4.8,0.0
3202,0.0625,0.15,0.0,2.4,0.0
3275,0.0625,0.15,0.0,2.4,0.0
3302,0.0625,0.15,0.0,2.4,0.0
3303,0.0625,0.15,0.0,2.4,0.0
3306,0.0625,5.25,0.0,84.0,0.0
3307,0.0625,1.05,0.0,16.8,0.0
3308,0.0625,3.3,0.0,52.8,0.0
3309,0.0625,1.5999999999999999,1.0,25.599999999999998,16.0
3310,0.0625,3.35,0.0,53.6,0.0
3311,0.0625,10.85,0.0,173.6,0.0
3312,0.0625,3.5999999999999996,0.0,57.599999999999994,0.0
3313,0.0625,1.3499999999999999,0.0,21.599999999999998,0.0
3314,0.0625,6.95,0.0,111.2,0.0
3315,0.0625,17.35,0.0,277.6,0.0
3316,0.0625,24.85,0.0,397.6,0.0
3324,0.0625,0.6,0.0,9.6,0.0
3346,0.0625,0.15,0.0,2.4,0.0
3383,0.0625,0.44999999999999996,0.0,7.199999999999999,0.0
3403,0.0625,10.0,0.0,160.0,0.0
3404,0.0625,8.75,0.0,140.0,0.0
3405,0.0625,51.45,0.0,823.2,0.0
3406,0.0625,13.45,0.0,215.2,0.0
3407,0.0625,32.95,0.0,527.2,0.0
3408,0.0625,96.65,6.0,1546.4,96.0
3409,0.0625,62.949999999999996,6.0,1007.1999999999999,96.0
3410,0.0625,145.85,3.0,2333.6,48.0
3411,0.0625,405.0,2.0,6480.0,32.0
3412,0.0625,183.95,2.0,2943.2,32.0
3413,0.0625,29.4,0.0,470.4,0.0
3414,0.0625,107.4,0.0,1718.4,0.0
3415,0.0625,87.15,1.0,1394.4,16.0
3416,0.0625,47.75,1.0,764.0,16.0
3417,0.0625,58.8,0.0,940.8,0.0
3418,0.0625,44.25,3.0,708.0,48.0
3419,0.0625,90.7,1.0,1451.2,16.0
3420,0.0625,55.35,0.0,885.6,0.0
3421,0.0625,65.95,1.0,1055.2,16.0
3422,0.0625,106.3,3.0,1700.8,48.0
3423,0.0625,147.5,6.0,2360.0,96.0
3424,0.0625,79.1,0.0,1265.6,0.0
3425,0.0625,36.4,2.0,582.4,32.0
3426,0.0625,42.3,3.0,676.8,48.0
3427,0.0625,65.9,0.0,1054.4,0.0
3428,0.0625,1.75,0.0,28.0,0.0
3441,0.0625,0.3,0.0,4.8,0.0
3454,0.0625,1.65,0.0,26.4,0.0
3503,0.0625,0.15,0.0,2.4,0.0
3511,0.0625,0.95,0.0,15.2,0.0
3512,0.0625,29.0,0.0,464.0,0.0
3513,0.0625,27.7,1.0,443.2,16.0
3514,0.0625,30.25,1.0,484.0,16.0
3515,0.0625,52.95,0.0,847.2,0.0
3516,0.0625,50.65,1.0,810.4,16.0
3517,0.0625,58.95,1.0,943.2,16.0
3518,0.0625,112.85,0.0,1805.6,0.0
3519,0.0625,126.3,1.0,2020.8,16.0
3520,0.0625,612.95,5.0,9807.2,80.0
3521,0.0625,365.15,5.0,5842.4,80.0
3522,0.0625,108.6,3.0,1737.6,48.0
3523,0.0625,79.65,3.0,1274.4,48.0
3524,0.0625,37.0,0.0,592.0,0.0
3525,0.0625,57.1,2.0,913.6,32.0
3526,0.0625,29.75,0.0,476.0,0.0
3527,0.0625,31.8,1.0,508.8,16.0
3528,0.0625,48.3,3.0,772.8,48.0
3529,0.0625,44.8,0.0,716.8,0.0
3530,0.0625,38.4,1.0,614.4,16.0
3531,0.0625,63.4,0.0,1014.4,0.0
3532,0.0625,63.95,0.0,1023.2,0.0
3533,0.0625,91.75,3.0,1468.0,48.0
3534,0.0625,62.6,0.0,1001.6,0.0
3535,0.0625,77.25,2.0,1236.0,32.0
3536,0.0625,36.25,0.0,580.0,0.0
3537,0.0625,41.65,2.0,666.4,32.0
3538,0.0625,7.2,1.0,115.2,16.0
3539,0.0625,7.4,0.0,118.4,0.0
3540,0.0625,0.75,0.0,12.0,0.0
3549,0.0625,0.44999999999999996,0.0,7.199999999999999,0.0
3562,0.0625,0.15,0.0,2.4,0.0
3619,0.0625,0.8999999999999999,0.0,14.399999999999999,0.0
3620,0.0625,59.35,3.0,949.6,48.0
3621,0.0625,47.3,1.0,756.8,16.0
3622,0.0625,44.7,0.0,715.2,0.0
3623,0.0625,47.4,1.0,758.4,16.0
3624,0.0625,65.5,0.0,1048.0,0.0
3625,0.0625,41.25,1.0,660.0,16.0
3626,0.0625,44.35,0.0,709.6,0.0
3627,0.0625,71.55,0.0,1144.8,0.0
3628,0.0625,87.45,1.0,1399.2,16.0
