id_celda,area_km2,delitos_ponderados,cant_estaciones_tren,densidad_delitos,densidad_estaciones_tren
84,0.25,0.15,0.0,0.6,0.0
133,0.25,0.15,0.0,0.6,0.0
173,0.25,0.3,0.0,1.2,0.0
230,0.25,0.15,0.0,0.6,0.0
341,0.25,0.44999999999999996,0.0,1.7999999999999998,0.0
412,0.25,0.15,0.0,0.6,0.0
487,0.25,5.1,0.0,20.4,0.0
510,0.25,0.15,0.0,0.6,0.0
514,0.25,0.75,0.0,3.0,0.0
621,0.25,0.15,0.0,0.6,0.0
665,0.25,0.15,0.0,0.6,0.0
669,0.25,0.15,0.0,0.6,0.0
672,0.25,0.15,0.0,0.6,0.0
684,0.25,0.15,0.0,0.6,0.0
686,0.25,0.3,0.0,1.2,0.0
694,0.25,0.3,0.0,1.2,0.0
748,0.25,0.44999999999999996,0.0,1.7999999999999998,0.0
774,0.25,0.3,0.0,1.2,0.0
827,0.25,0.6,0.0,2.4,0.0
837,0.25,18.45,0.0,73.8,0.0
838,0.25,62.8,0.0,251.2,0.0
839,0.25,123.15,0.0,492.6,0.0
840,0.25,198.0,0.0,792.0,0.0
841,0.25,552.2,0.0,2208.8,0.0
842,0.25,127.05,0.0,508.2,0.0
843,0.25,132.65,0.0,530.6,0.0
844,0.25,101.5,0.0,406.0,0.0
845,0.25,150.8,0.0,603.2,0.0
846,0.25,163.85,0.0,655.4,0.0
847,0.25,241.6,0.0,966.4,0.0
848,0.25,98.15,0.0,392.6,0.0
849,0.25,64.35,0.0,257.4,0.0
852,0.25,0.6,0.0,2.4,0.0
856,0.25,0.3,0.0,1.2,0.0
862,0.25,1.65,0.0,6.6,0.0
863,0.25,0.15,0.0,0.6,0.0
887,0.25,0.15,0.0,0.6,0.0
891,0.25,56.4,0.0,225.6,0.0
892,0.25,140.9,0.0,563.6,0.0
893,0.25,183.95,0.0,735.8,0.0
894,0.25,187.1,0.0,748.4,0.0
895,0.25,377.6,0.0,1510.4,0.0
896,0.25,1279.6,1.0,5118.4,4.0
897,0.25,382.1,0.0,1528.4,0.0
898,0.25,173.8,0.0,695.2,0.0
899,0.25,137.9,0.0,551.6,0.0
900,0.25,178.7,0.0,714.8,0.0
901,0.25,196.9,0.0,787.6,0.0
902,0.25,262.8,0.0,1051.2,0.0
903,0.25,343.1,0.0,1372.4,0.0
904,0.25,153.7,0.0,614.8,0.0
905,0.25,60.25,0.0,241.0,0.0
906,0.25,91.75,0.0,367.0,0.0
907,0.25,0.5,0.0,2.0,0.0
909,0.25,0.3,0.0,1.2,0.0
910,0.25,0.44999999999999996,0.0,1.7999999999999998,0.0
913,0.25,0.3,0.0,1.2,0.0
917,0.25,0.15,0.0,0.6,0.0
945,0.25,16.1,0.0,64.4,0.0
946,0.25,133.25,0.0,533.0,0.0
947,0.25,216.45,0.0,865.8,0.0
948,0.25,144.5,0.0,578.0,0.0
949,0.25,125.65,0.0,502.6,0.0
950,0.25,266.8,0.0,1067.2,0.0
951,0.25,413.15,0.0,1652.6,0.0
952,0.25,486.45,0.0,1945.8,0.0
953,0.25,221.8,0.0,887.2,0.0
954,0.25,166.75,0.0,667.0,0.0
955,0.25,224.3,0.0,897.2,0.0
956,0.25,185.6,0.0,742.4,0.0
957,0.25,263.2,0.0,1052.8,0.0
958,0.25,245.9,0.0,983.6,0.0
959,0.25,195.65,0.0,782.6,0.0
960,0.25,129.55,0.0,518.2,0.0
961,0.25,101.7,0.0,406.8,0.0
962,0.25,134.0,0.0,536.0,0.0
963,0.25,75.65,0.0,302.6,0.0
964,0.25,21.1,0.0,84.4,0.0
971,0.25,0.15,0.0,0.6,0.0
999,0.25,33.4,0.0,133.6,0.0
1000,0.25,374.35,0.0,1497.4,0.0
1001,0.25,173.6,0.0,694.4,0.0
1002,0.25,179.0,0.0,716.0,0.0
1003,0.25,370.75,0.0,1483.0,0.0
1004,0.25,191.25,0.0,765.0,0.0
1005,0.25,203.65,0.0,814.6,0.0
1006,0.25,347.25,0.0,1389.0,0.0
1007,0.25,4.2,0.0,16.8,0.0
1008,0.25,230.0,0.0,920.0,0.0
1009,0.25,184.9,0.0,739.6,0.0
1010,0.25,189.95,0.0,759.8,0.0
1011,0.25,264.95,0.0,1059.8,0.0
1012,0.25,227.35,0.0,909.4,0.0
1013,0.25,296.2,0.0,1184.8,0.0
1014,0.25,366.15,0.0,1464.6,0.0
1015,0.25,103.6,0.0,414.4,0.0
1016,0.25,121.15,0.0,484.6,0.0
1017,0.25,141.95,0.0,567.8,0.0
1018,0.25,134.55,0.0,538.2,0.0
1019,0.25,228.55,0.0,914.2,0.0
1020,0.25,125.05,0.0,500.2,0.0
