id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,Long,Lat,latitud,longitud
1,248 Finisterra,Báez 248,(54 11) 4773 0901/ 4776 8777,info@248finisterra.com,,,Báez,248.0,Báez 248,,,-34.57237574343434,-58.43075768181818
3,Bohemia Buenos Aires Hotel,Perú 845,(54 11) 4115-2561/2566,info@bohemiabuenosaires.com.ar,,,Perú,845.0,Perú 845,,,-34.61785325918367,-58.37446917755102
4,Castelli 75,Castelli 75,(54 11) 4952-9003 / 8584,,,,Castelli,75.0,Castelli 75,,,-34.609094400000004,-58.404580773469384
5,Cevallos Palace Hotel,"Cevallos, Virrey 261",(54 11) 4372-7636,hotelcevallos@hotmail.com,,,"Cevallos, Virrey",261.0,"Cevallos, Virrey 261",,,-34.611842,-58.38903
6,Condor Hotel,La Rioja 258,(54 11) 4932-7626,hotelcondor@hotmail.com,,,La Rioja,258.0,La Rioja 258,,,-34.61339547142857,-58.408550871428574
12,Frossard Hotel,Tucuman 686,(54 11) 4322-1811,reservas@hotelfrossard.com.ar,,,Tucuman,686.0,Tucuman 686,,,-34.60115004285714,-58.376463542857145
13,Gran Sarmiento,Sarmiento 1892,(54 11) 4374-8069,,,,Sarmiento,1892.0,Sarmiento 1892,,,-34.60580771428571,-58.393474220408166
15,Hotel Manzanares Plaza,Manzanares 2339,(54 11) 4702-6839,info.manzanares@gmail.com,,,Manzanares,2339.0,Manzanares 2339,,,-34.5469736122449,-58.468712279591834
18,Key's Hotel,Zapata 315,(54 11) 4778-3233 / 4772 8371,reservas@hotelkeys.com.ar,,,Zapata,315.0,Zapata 315,,,-34.5735315,-58.4408597
21,Milan,Montevideo 337,(54 11) 4373-0759 / 4374-1906,info@milanhotel.com.ar,www.milanhotel.com.ar,,Montevideo,337.0,Montevideo 337,,,-34.6052361,-58.3892173
22,Omega,Paraguay 2991,(54 11) 4962-5431,reservashotelomega@gmail.com,,,Paraguay,2991.0,Paraguay 2991,,,-34.59568823877551,-58.409385997959184
23,Rio de la Plata,"Garay, Juan De Av. 1271",(54 11) 4305-3191 / 4306-8689,,,,"Garay, Juan De Av.",1271.0,"Garay, Juan De Av. 1271",,,-34.6312942,-58.4163481
25,ADM Ayamitre Hotel,Ayacucho 106,(54 11) 2053-3350,reservas@hotelayamitre.com.ar,,,Ayacucho,106.0,Ayacucho 106,,,-34.60804669591837,-58.39503809183673
27,Americano Hotel,Rodriguez Peña 265,(54 11) 4382-4223,,,,Rodriguez Peña,265.0,Rodriguez Peña 265,,,-34.60598625918367,-58.390674385714284
29,Ayacucho Palace Hotel,Ayacucho 1048,(54 11) 4806-1815,reservas@ayacuchohotel.com.ar,,,Ayacucho,1048.0,Ayacucho 1048,,,-34.6044513,-58.3953125
30,Be Hollywood,Humboldt 1716,(54 11) 5555-8100,reservas@behollywood.com,,,Humboldt,1716.0,Humboldt 1716,,,-34.58461214285714,-58.43525242857143
31,Blanro,Junín 759,(54 11) 4374-2000,reservas@hotelblanro.com.ar,,,Junín,759.0,Junín 759,,,-34.60031668979592,-58.397061395918364
32,Camaro Palace Hotel,Sarmiento 4239,(54 11) 4867-4798 / 0195,camaroph@hotmail.com,,,Sarmiento,4239.0,Sarmiento 4239,,,-34.60436882040816,-58.42494517551021
35,Diplomat,San Martín 918,(54 11) 4311-9370 / 4312-6124,,,,San Martín,918.0,San Martín 918,,,-34.5972653,-58.3743773
37,Estilo MB,Callao Av. 164,(54 11) 4374-9112,buenosaires@hotelesestilomb.com.ar,,,Callao Av.,164.0,Callao Av. 164,,,-34.60728816734694,-58.39223510816327
38,Gran Hotel Atlantic,Castelli 45,(54 11) 4951-0081,info@hotelatlantic.com.ar,,,Castelli,45.0,Castelli 45,,,-34.6094049,-58.404559865306126
41,Guido Palace Hotel,Guido 1780,(54 11) 4812-0674 / 0841,hotelguidopalace@hotmail.com.ar,,,Guido,1780.0,Guido 1780,,,-34.59029238367347,-58.38971738367347
42,Hotel A&B,Montevideo 248,(54 11) 4325-8960/4382-4118,recepcion@hotelayb.com,,,Montevideo,248.0,Montevideo 248,,,-34.606121,-58.389426
44,Hotel Central,Solis 192,(54 11) 4373-8785,,,,Solis,192.0,Solis 192,,,-34.611238048979594,-58.390267846938784
45,Internacional,"Irigoyen, Bernardo De 552",(54 11) 4334-4949,info@hotel-internacional.com.ar,,,"Irigoyen, Bernardo De",552.0,"Irigoyen, Bernardo De 552",,,-34.6282587,-58.378062
46,King's Hotel,Corrientes Av. 623,(54 11) 4322-8461 / 8161,reservas@kingshotel.com.ar,,,Corrientes Av.,623.0,Corrientes Av. 623,,,-34.60322431111111,-58.37556188888889
48,Los Tres Reyes,Brasil 423,(54 11) 4300-9456,hotel_tresreyes@yahoo.com,,,Brasil,423.0,Brasil 423,,,-34.6253056,-58.3717822
50,Mine Hotel Boutique,Gorriti 4770,(54 11) 4832-1100,info@minehotel.com,,,Gorriti,4770.0,Gorriti 4770,,,-34.59102540816327,-58.42885755102041
52,Palermo Hotel,Godoy Cruz 2725,(54 11) 4774-7342,reservas@consultoralibertadores.com,,,Godoy Cruz,2725.0,Godoy Cruz 2725,,,-34.578365985714285,-58.42487949591837
53,Paname,Godoy Cruz 2774,(54 11) 4771-4041,reservas@panamehotel.com.ar,,,Godoy Cruz,2774.0,Godoy Cruz 2774,,,-34.5779356877551,-58.42472314285715
54,Plaza Roma,Lavalle 110,(54 11) 4311-1679,"info@hotelplazaroma.com.ar,reservas@hotelplazaroma.com.ar",https://hotelplazaromabuenosaires.com,,Lavalle,110.0,Lavalle 110,,,-34.60190436734694,-58.369335542857144
55,Principe Hotel,Laprida 1454,(54 11) 4821-9818,principe@hotel-principe.com.ar,,,Laprida,1454.0,Laprida 1454,,,-34.5921029,-58.4056227
58,Tres Sargentos Hotel,Tres Sargentos 345,(54 11) 4312-6082,tresargentos@hotmail.com,www.hoteltressargentos.com.ar,,Tres Sargentos,345.0,Tres Sargentos 345,,,-34.597718191836734,-58.3723549244898
59,Tucuman Palace Hotel,Tucuman 384,(54 11) 4311-3555,reservas@Tucumanpalacehotel.com.ar,,,Tucuman,384.0,Tucuman 384,,,-34.60086835102041,-58.372297493877554
60,Alpino,Cabello 3318,(54 11) 4802-5151,reservas@hotelalpino.com.ar,,,Cabello,3318.0,Cabello 3318,,,-34.581697142857145,-58.40792744897959
61,Atlas Tower,Corrientes Av. 1778,(54 11) 5217-9371,reservas@atlastower.com.ar,www.atlastowerhotel.com.ar,,Corrientes Av.,1778.0,Corrientes Av. 1778,,,-34.6044703,-58.396243
62,Bel Air Bs As Hotel,Arenales ,(54 11) 4021-4000,reservas@hotelbelair.com.ar,http://www.hotelbelairbuenosaires.com/index_es.htm,,Arenales,,Arenales ,,,-34.5941357,-58.3995154
64,Eleven Palace Hotel,La Rioja 87,(54 11) 4864-5097 al 99,info@hoteleleven.com.ar,https://hoteleleven.com.ar/,,La Rioja,87.0,La Rioja 87,,,-34.61129715102041,-58.40890164693878
65,Embajador,"Pellegrini, Carlos 1185",(54 11) 4326-5302 al 11,reservas@525hotel.com,,,"Pellegrini, Carlos",1185.0,"Pellegrini, Carlos 1185",,,-34.5979845,-58.3810899
66,Épico Recoleta,Laprida 1902,(54 11) 5199-8399,info@epicorecoletahotel.com.ar,epicorecoletahotel.com.ar,,Laprida,1902.0,Laprida 1902,,,-34.5883949,-58.4009154
67,Esmeralda Palace Hotel,Esmeralda 527,(54 11) 5811 0317/22,reservasesmeralda@orho-hoteles.com.ar,,,Esmeralda,527.0,Esmeralda 527,,,-34.60202713265306,-58.378084016326525
69,Europlaza Hotel & Suites,Montevideo 327,(54 11) 4371-8215 / 5032-7679/7699,info@europlaza.com.ar,,,Montevideo,327.0,Montevideo 327,,,-34.605103142857146,-58.38928698163266
70,Gran Hotel Ailen,Suipacha 18,(54 11) 4345-4980 / 4343-2037,reservas@granhotelailen.com.ar,http://granhotelailen.com.ar/,,Suipacha,18.0,Suipacha 18,,,-34.6080575,-58.3793281
73,Holiday Inn Express Puerto Madero,"Alem, Leandro N. Av. 770",(54 11) 4311-5200,reservas.arg@talbot.cl,https://www.ihg.com/holidayinnexpress/hotels/us/es/buenos-aires/buept/hoteldetail,,"Alem, Leandro N. Av.",770.0,"Alem, Leandro N. Av. 770",,,-34.59762095,-58.37098730756253
75,Hotel N´Ontué,Corrientes Av. 3321,(54 11) 4860 1600,info@nontuehotel.com.ar,,,Corrientes Av.,3321.0,Corrientes Av. 3321,,,-34.6038923,-58.41214247558659
77,IBIS Buenos Aires Obelisco,Corrientes Av. 1344,(54 11) 4370-9300,h6502-dm1@accor.com,https://all.accor.com/hotel/6502/index.es.shtml,,Corrientes Av.,1344.0,Corrientes Av. 1344,,,-34.6041298,-58.3858207
79,Imperial Park,Lima 107,(54 11) 4383-0555,info@imperialparkhotel.com,NO TIENE,,Lima,107.0,Lima 107,,,-34.6098130877551,-58.382044434693874
80,Irun,Santiago Del Estero 1671,(54 11) 4306-0018/ 4304-2746 / 0-810-222-4441,info@hotelirun.com.ar,www.hotelirun.com.ar,,Santiago Del Estero,1671.0,Santiago Del Estero 1671,,,-34.6275892,-58.384479
81,La Perla Hotel,Jujuy Av. 36,(54 11) 5218-7737 al 40,info@hotellaperla.com.ar,www.hotellaperla.com.ar,,Jujuy Av.,36.0,Jujuy Av. 36,,,-34.61058939430678,-58.40579645576798
85,Normandie Hotel,Rodriguez Peña 320,(54 11) 4371-7001 al 06,normandie@hotelnormandie.com.ar,,,Rodriguez Peña,320.0,Rodriguez Peña 320,,,-34.605308997959185,-58.390885695918364
86,O2 Hotel Buenos Aires,Junín 357,(54 11) 4953-4455 / 4071,reservas@grupodotia.com,www.hoteleso2.com,,Junín,357.0,Junín 357,,,-34.60517027142857,-58.39663828571429
87,Parlamento Hotel,Rodriguez Peña 61,(54 11) 4371-3789 / 4374-1410/1709,info@hotelparlamento.com.ar,www.hotelparlamento.com.ar,,Rodriguez Peña,61.0,Rodriguez Peña 61,,,-34.60838336734694,-58.3905745
88,Regis Hotel,Lavalle 813,0810 222 6746 / (5411) 4327 2605,regisventa@hotelregis.com.ar,www.hotelregis.com.ar,,Lavalle,813.0,Lavalle 813,,,-34.60234636530612,-58.37838502244898
