id;nombre;domicilio;telefono;email;web;tipo;calle;altura;direccion;Long;Lat
1;248 Finisterra;Báez 248;(54 11) 4773 0901/ 4776 8777;info@248finisterra.com;;;Báez;248;Báez 248;;
2;Avenida Petit Hotel;De Mayo Av. 1347;(54 11) 4381-2428 / 7831;avenidapetit@gmail.com;;;De Mayo Av.;1347;De Mayo Av. 1347;;
3;Bohemia Buenos Aires Hotel;Perú 845;(54 11) 4115-2561/2566;info@bohemiabuenosaires.com.ar;;;Perú;845;Perú 845;;
4;Castelli 75;Castelli 75;(54 11) 4952-9003 / 8584;;;;Castelli;75;Castelli 75;;
5;Cevallos Palace Hotel;Cevallos, Virrey 261;(54 11) 4372-7636;hotelcevallos@hotmail.com;;;Cevallos, Virrey;261;Cevallos, Virrey 261;;
6;Condor Hotel;La Rioja 258;(54 11) 4932-7626;hotelcondor@hotmail.com;;;La Rioja;258;La Rioja 258;;
7;De La Rue;Freire 1765;(54 11) 4551-4884 / 4552-4048;info@hoteldelarue.com.ar;;;Freire;1765;Freire 1765;;
8;Del Congreso;Yrigoyen, Hipolito 2064;(54 11) 4952 7728 / 4952 0385;;;;Yrigoyen, Hipolito;2064;Yrigoyen, Hipolito 2064;;
9;Du Helder Hotel;Rivadavia Av. 857;(54 11) 4345-3644/3650;hotelduhelder@hotmail.com;;;Rivadavia Av.;857;Rivadavia Av. 857;;
10;El Cabildo;Lavalle 748;(54 11) 4322-6695 / 6745;reservas@hotelelcabildo.com;;;Lavalle;748;Lavalle 748;;
11;Fiorentino Hotel;Urquiza 187;(54 11) 4932-9641 / 4931-1368;mariasambade@hotmail.com.ar;;;Urquiza;187;Urquiza 187;;
12;Frossard Hotel;Tucuman 686;(54 11) 4322-1811;reservas@hotelfrossard.com.ar;;;Tucuman;686;Tucuman 686;;
13;Gran Sarmiento;Sarmiento 1892;(54 11) 4374-8069;;;;Sarmiento;1892;Sarmiento 1892;;
14;Hispano Argentino;Catamarca 167;(54 11) 4931-5543 / 4932-3980;contacto@hhispanoargentino.com.ar;;;Catamarca;167;Catamarca 167;;
15;Hotel Manzanares Plaza;Manzanares 2339;(54 11) 4702-6839;info.manzanares@gmail.com;;;Manzanares;2339;Manzanares 2339;;
16;Hotel Quito;Alsina 2737;(54 11) 4957-5056;info@hotelquito.com.ar;http://hotelquito.com.ar/;;Alsina;2737;Alsina 2737;;
17;Hotel Siena;Peron, Juan Domnigo, Tte. General 1554;(54 11) 4371-0720 / 7422 / 6346;info@sienahotel.com.ar;;;Peron, Juan Domnigo, Tte. General;1554;Peron, Juan Domnigo, Tte. General 1554;;
18;Key's Hotel;Zapata 315;(54 11) 4778-3233 / 4772 8371;reservas@hotelkeys.com.ar;;;Zapata;315;Zapata 315;;
19;La Fresque;De Mayo Av. 984;(54 11) 4331-3615;info@lafresquehotel.com;;;De Mayo Av.;984;De Mayo Av. 984;;
20;Llano;Yrigoyen, Hipolito 3023;(54 11) 4861-1672;;;;Yrigoyen, Hipolito;3023;Yrigoyen, Hipolito 3023;;
21;Milan;Montevideo 337;(54 11) 4373-0759 / 4374-1906;info@milanhotel.com.ar;www.milanhotel.com.ar;;Montevideo;337;Montevideo 337;;
22;Omega;Paraguay 2991;(54 11) 4962-5431;reservashotelomega@gmail.com;;;Paraguay;2991;Paraguay 2991;;
23;Rio de la Plata;Garay, Juan De Av. 1271;(54 11) 4305-3191 / 4306-8689;;;;Garay, Juan De Av.;1271;Garay, Juan De Av. 1271;;
24;Turista Hotel;De Mayo Av. 686;(54 11) 4331-2281 / 2485;turistahotel@yahoo.com.ar;;;De Mayo Av.;686;De Mayo Av. 686;;
25;ADM Ayamitre Hotel;Ayacucho 106;(54 11) 2053-3350;reservas@hotelayamitre.com.ar;;;Ayacucho;106;Ayacucho 106;;
26;Aires Express;Mitre, Bartolome 3410;(54 11) 4867-1265 / 4860-0204;hotelairesexpres@gmail.com;;;Mitre, Bartolome;3410;Mitre, Bartolome 3410;;
27;Americano Hotel;Rodriguez Peña 265;(54 11) 4382-4223;;;;Rodriguez Peña;265;Rodriguez Peña 265;;
28;Astoria;De Mayo Av. 916;(54 11) 4334-9061 / 5;info@hotel-astoria.com.ar;;;De Mayo Av.;916;De Mayo Av. 916;;
29;Ayacucho Palace Hotel;Ayacucho 1048;(54 11) 4806-1815;reservas@ayacuchohotel.com.ar;;;Ayacucho;1048;Ayacucho 1048;;
30;Be Hollywood;Humboldt 1716;(54 11) 5555-8100;reservas@behollywood.com;;;Humboldt;1716;Humboldt 1716;;
31;Blanro;Junín 759;(54 11) 4374-2000;reservas@hotelblanro.com.ar;;;Junín;759;Junín 759;;
32;Camaro Palace Hotel;Sarmiento 4239;(54 11) 4867-4798 / 0195;camaroph@hotmail.com;;;Sarmiento;4239;Sarmiento 4239;;
33;Central Córdoba;San Martín 1021;(54 11) 4311-1175 / 4312-8524;reservas@hotelcentralcordoba.com.ar;;;San Martín;1021;San Martín 1021;;
34;Crisol Mundial Hotel;De Mayo Av. 1298;(54 11) 4383-0011;reservas@mundialhotel.com.ar;;;De Mayo Av.;1298;De Mayo Av. 1298;;
35;Diplomat;San Martín 918;(54 11) 4311-9370 / 4312-6124;;;;San Martín;918;San Martín 918;;
36;Esperia;Urquiza 222;(54 11) 4957-3937;consultas@hotelesperia.com.ar;;;Urquiza;222;Urquiza 222;;
37;Estilo MB;Callao Av. 164;(54 11) 4374-9112;buenosaires@hotelesestilomb.com.ar;;;Callao Av.;164;Callao Av. 164;;
38;Gran Hotel Atlantic;Castelli 45;(54 11) 4951-0081;info@hotelatlantic.com.ar;;;Castelli;45;Castelli 45;;
