id,banco,red,ubicacion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
11073,NUEVO BANCO DE SANTA FE S.A.,LINK,25 De Mayo 168,San Nicolas,Comuna 1,1,0-50 m,12.0,0.007841371226357887,1530.3445856081078,1530.3445856081078,1.0
11073,NUEVO BANCO DE SANTA FE S.A.,LINK,25 De Mayo 168,San Nicolas,Comuna 1,2,50-100 m,4.0,0.023524113679051644,170.0382872899489,1530.3445856081078,0.1111111111112151
11073,NUEVO BANCO DE SANTA FE S.A.,LINK,25 De Mayo 168,San Nicolas,Comuna 1,3,100-150 m,0.0,0.03920685613180504,0.0,1530.3445856081078,0.0
11059,BANCO DE LA NACION ARGENTINA,LINK,25 De Mayo 230,San Nicolas,Comuna 1,1,0-50 m,49.0,0.007841371226357887,6248.9070578997735,6248.9070578997735,1.0
11059,BANCO DE LA NACION ARGENTINA,LINK,25 De Mayo 230,San Nicolas,Comuna 1,2,50-100 m,49.0,0.023524113679051644,2082.9690193018737,6248.9070578997735,0.33333333333364523
11059,BANCO DE LA NACION ARGENTINA,LINK,25 De Mayo 230,San Nicolas,Comuna 1,3,100-150 m,18.0,0.03920685613180504,459.10337568224963,6248.9070578997735,0.07346938775507281
11033,BANCO DEL CHUBUT S.A.,LINK,25 De Mayo 267/73,San Nicolas,Comuna 1,1,0-50 m,8.0,0.007841371226357887,1020.2297237387385,1020.2297237387385,1.0
11033,BANCO DEL CHUBUT S.A.,LINK,25 De Mayo 267/73,San Nicolas,Comuna 1,2,50-100 m,3.0,0.023524113679051644,127.52871546746167,1020.2297237387385,0.125000000000117
11033,BANCO DEL CHUBUT S.A.,LINK,25 De Mayo 267/73,San Nicolas,Comuna 1,3,100-150 m,3.0,0.03920685613180504,76.51722928037493,1020.2297237387385,0.07499999999997015
11069,BANCO DE SANTA CRUZ S.A.,LINK,25 De Mayo 279,San Nicolas,Comuna 1,1,0-50 m,10.0,0.007841371226357887,1275.2871546734232,1275.2871546734232,1.0
11069,BANCO DE SANTA CRUZ S.A.,LINK,25 De Mayo 279,San Nicolas,Comuna 1,2,50-100 m,4.0,0.023524113679051644,170.0382872899489,1275.2871546734232,0.13333333333345812
11069,BANCO DE SANTA CRUZ S.A.,LINK,25 De Mayo 279,San Nicolas,Comuna 1,3,100-150 m,1.0,0.03920685613180504,25.50574309345831,1275.2871546734232,0.019999999999992038
11046,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,25 De Mayo 294 esquina Sarmiento,San Nicolas,Comuna 1,1,0-50 m,8.0,0.007841371226357887,1020.2297237387385,1020.2297237387385,1.0
11046,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,25 De Mayo 294 esquina Sarmiento,San Nicolas,Comuna 1,2,50-100 m,6.0,0.023524113679051644,255.05743093492333,1020.2297237387385,0.250000000000234
11046,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,25 De Mayo 294 esquina Sarmiento,San Nicolas,Comuna 1,3,100-150 m,0.0,0.03920685613180504,0.0,1020.2297237387385,0.0
11020,BANCO DE FORMOSA S.A.,LINK,25 De Mayo 454 piso -,San Nicolas,Comuna 1,1,0-50 m,105.0,0.007841371226357887,13390.515124070942,13390.515124070942,1.0
11020,BANCO DE FORMOSA S.A.,LINK,25 De Mayo 454 piso -,San Nicolas,Comuna 1,2,50-100 m,9.0,0.023524113679051644,382.586146402385,13390.515124070942,0.028571428571455313
11020,BANCO DE FORMOSA S.A.,LINK,25 De Mayo 454 piso -,San Nicolas,Comuna 1,3,100-150 m,0.0,0.03920685613180504,0.0,13390.515124070942,0.0
10883,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,Nueva Pompeya,Comuna 4,1,0-50 m,26.0,0.007841371226357887,3315.7466021509,3315.7466021509,1.0
10883,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,Nueva Pompeya,Comuna 4,2,50-100 m,36.0,0.023524113679051644,1530.34458560954,3315.7466021509,0.4615384615388935
10883,BANCO DE LA NACION ARGENTINA,LINK,Abraham Luppi 1090,Nueva Pompeya,Comuna 4,3,100-150 m,41.0,0.03920685613180504,1045.7354668317907,3315.7466021509,0.31538461538448986
11784,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,,,1,0-50 m,15.0,0.007841371226357887,1912.9307320101345,1912.9307320101345,1.0
11784,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,,,2,50-100 m,16.0,0.023524113679051644,680.1531491597956,1912.9307320101345,0.35555555555588836
11784,BANCO DE LA NACION ARGENTINA,LINK,Aeroparque s/n,,,3,100-150 m,1.0,0.03920685613180504,25.50574309345831,1912.9307320101345,0.013333333333328028
11697,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,Puerto Madero,Comuna 1,1,0-50 m,0.0,0.007841371226357887,0.0,0.0,
11697,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,Puerto Madero,Comuna 1,2,50-100 m,20.0,0.023524113679051644,850.1914364497444,0.0,
11697,CABAL COOP. LTDA.,LINK,Alicia M. De Justo 2036,Puerto Madero,Comuna 1,3,100-150 m,19.0,0.03920685613180504,484.60911877570794,0.0,
11381,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,Monserrat,Comuna 1,1,0-50 m,7.0,0.007841371226357887,892.7010082713962,892.7010082713962,1.0
11381,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,Monserrat,Comuna 1,2,50-100 m,12.0,0.023524113679051644,510.11486186984666,892.7010082713962,0.5714285714291062
11381,BANCO DE LA NACION ARGENTINA,LINK,Alsina 1356,Monserrat,Comuna 1,3,100-150 m,0.0,0.03920685613180504,0.0,892.7010082713962,0.0
11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,Monserrat,Comuna 1,1,0-50 m,50.0,0.007841371226357887,6376.435773367116,6376.435773367116,1.0
11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,Monserrat,Comuna 1,2,50-100 m,38.0,0.023524113679051644,1615.3637292545145,6376.435773367116,0.25333333333357044
11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Alsina 1502,Monserrat,Comuna 1,3,100-150 m,28.0,0.03920685613180504,714.1608066168327,6376.435773367116,0.11199999999995541
11386,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,Monserrat,Comuna 1,1,0-50 m,11.0,0.007841371226357887,1402.8158701407654,1402.8158701407654,1.0
11386,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,Monserrat,Comuna 1,2,50-100 m,81.0,0.023524113679051644,3443.275317621465,1402.8158701407654,2.454545454547752
11386,BANCO DE LA NACION ARGENTINA,LINK,Alsina 365,Monserrat,Comuna 1,3,100-150 m,18.0,0.03920685613180504,459.10337568224963,1402.8158701407654,0.32727272727259704
11393,CABAL COOP. LTDA.,LINK,Alsina 637,Monserrat,Comuna 1,1,0-50 m,8.0,0.007841371226357887,1020.2297237387385,1020.2297237387385,1.0
11393,CABAL COOP. LTDA.,LINK,Alsina 637,Monserrat,Comuna 1,2,50-100 m,21.0,0.023524113679051644,892.7010082722317,1020.2297237387385,0.8750000000008189
11393,CABAL COOP. LTDA.,LINK,Alsina 637,Monserrat,Comuna 1,3,100-150 m,26.0,0.03920685613180504,663.1493204299161,1020.2297237387385,0.6499999999997413
11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",Villa Crespo,Comuna 15,1,0-50 m,16.0,0.007841371226357887,2040.459447477477,2040.459447477477,1.0
11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",Villa Crespo,Comuna 15,2,50-100 m,12.0,0.023524113679051644,510.11486186984666,2040.459447477477,0.250000000000234
11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Araoz 265, entre Camargo y Luis M. Drago",Villa Crespo,Comuna 15,3,100-150 m,35.0,0.03920685613180504,892.7010082710409,2040.459447477477,0.4374999999998259
11709,BANCO DE LA NACION ARGENTINA,LINK,"Arenales 819, entre Esmeralda y Suipacha",Retiro,Comuna 1,1,0-50 m,48.0,0.007841371226357887,6121.378342432431,6121.378342432431,1.0
11709,BANCO DE LA NACION ARGENTINA,LINK,"Arenales 819, entre Esmeralda y Suipacha",Retiro,Comuna 1,2,50-100 m,53.0,0.023524113679051644,2253.0073065918227,6121.378342432431,0.3680555555559
11709,BANCO DE LA NACION ARGENTINA,LINK,"Arenales 819, entre Esmeralda y Suipacha",Retiro,Comuna 1,3,100-150 m,43.0,0.03920685613180504,1096.7469530187075,6121.378342432431,0.17916666666659536
11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 702,Caballito,Comuna 6,1,0-50 m,132.0,0.007841371226357887,16833.790441689183,16833.790441689183,1.0
11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 702,Caballito,Comuna 6,2,50-100 m,102.0,0.023524113679051644,4335.976325893696,16833.790441689183,0.25757575757599865
11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 702,Caballito,Comuna 6,3,100-150 m,46.0,0.03920685613180504,1173.2641822990824,16833.790441689183,0.06969696969694197
11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 71,Caballito,Comuna 6,1,0-50 m,56.0,0.007841371226357887,7141.608066171169,7141.608066171169,1.0
11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 71,Caballito,Comuna 6,2,50-100 m,66.0,0.023524113679051644,2805.631740284157,7141.608066171169,0.39285714285751056
11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Acoyte 71,Caballito,Comuna 6,3,100-150 m,85.0,0.03920685613180504,2167.9881629439565,7141.608066171169,0.30357142857130776
11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almafuerte 406,Parque Patricios,Comuna 4,1,0-50 m,74.0,0.007841371226357887,9437.124944583331,9437.124944583331,1.0
11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almafuerte 406,Parque Patricios,Comuna 4,2,50-100 m,71.0,0.023524113679051644,3018.179599396593,9437.124944583331,0.31981981982011914
11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almafuerte 406,Parque Patricios,Comuna 4,3,100-150 m,46.0,0.03920685613180504,1173.2641822990824,9437.124944583331,0.12432432432427486
11678,BANCO DE LA NACION ARGENTINA,LINK,Av. Almirante Brown 1101,Boca,Comuna 4,1,0-50 m,69.0,0.007841371226357887,8799.481367246619,8799.481367246619,1.0
11678,BANCO DE LA NACION ARGENTINA,LINK,Av. Almirante Brown 1101,Boca,Comuna 4,2,50-100 m,52.0,0.023524113679051644,2210.4977347693357,8799.481367246619,0.2512077294688342
11678,BANCO DE LA NACION ARGENTINA,LINK,Av. Almirante Brown 1101,Boca,Comuna 4,3,100-150 m,191.0,0.03920685613180504,4871.596930850537,8799.481367246619,0.5536231884055768
11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almirante Brown 240,Boca,Comuna 4,1,0-50 m,167.0,0.007841371226357887,21297.295483046164,21297.295483046164,1.0
11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almirante Brown 240,Boca,Comuna 4,2,50-100 m,313.0,0.023524113679051644,13305.4959804385,21297.295483046164,0.6247504990025807
11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Almirante Brown 240,Boca,Comuna 4,3,100-150 m,92.0,0.03920685613180504,2346.528364598165,21297.295483046164,0.11017964071851905
11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269,Monte Castro,Comuna 10,1,0-50 m,7.0,0.007841371226357887,892.7010082713962,892.7010082713962,1.0
11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269,Monte Castro,Comuna 10,2,50-100 m,4.0,0.023524113679051644,170.0382872899489,892.7010082713962,0.19047619047636877
11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269,Monte Castro,Comuna 10,3,100-150 m,0.0,0.03920685613180504,0.0,892.7010082713962,0.0
11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269/79,Monte Castro,Comuna 10,1,0-50 m,1.0,0.007841371226357887,127.52871546734231,127.52871546734231,1.0
11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269/79,Monte Castro,Comuna 10,2,50-100 m,1.0,0.023524113679051644,42.509571822487224,127.52871546734231,0.33333333333364534
11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Alvarez Jonte 5269/79,Monte Castro,Comuna 10,3,100-150 m,9.0,0.03920685613180504,229.55168784112482,127.52871546734231,1.7999999999992837
11776,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 5298,Monte Castro,Comuna 10,1,0-50 m,41.0,0.007841371226357887,5228.677334161035,5228.677334161035,1.0
11776,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 5298,Monte Castro,Comuna 10,2,50-100 m,36.0,0.023524113679051644,1530.34458560954,5228.677334161035,0.2926829268295422
11776,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 5298,Monte Castro,Comuna 10,3,100-150 m,26.0,0.03920685613180504,663.1493204299161,5228.677334161035,0.12682926829263244
11534,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 6383,Liniers,Comuna 9,1,0-50 m,7.0,0.007841371226357887,892.7010082713962,892.7010082713962,1.0
11534,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 6383,Liniers,Comuna 9,2,50-100 m,13.0,0.023524113679051644,552.6244336923339,892.7010082713962,0.6190476190481985
11534,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Jonte 6383,Liniers,Comuna 9,3,100-150 m,20.0,0.03920685613180504,510.11486186916625,892.7010082713962,0.571428571428344
11228,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Thomas 1994,Villa Ortuzar,Comuna 15,1,0-50 m,42.0,0.007841371226357887,5356.206049628377,5356.206049628377,1.0
11228,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Thomas 1994,Villa Ortuzar,Comuna 15,2,50-100 m,39.0,0.023524113679051644,1657.8733010770018,5356.206049628377,0.30952380952409925
11228,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvarez Thomas 1994,Villa Ortuzar,Comuna 15,3,100-150 m,15.0,0.03920685613180504,382.58614640187466,5356.206049628377,0.071428571428543
10988,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvear 1936,Recoleta,Comuna 2,1,0-50 m,35.0,0.007841371226357887,4463.505041356981,4463.505041356981,1.0
10988,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvear 1936,Recoleta,Comuna 2,2,50-100 m,52.0,0.023524113679051644,2210.4977347693357,4463.505041356981,0.4952380952385588
10988,BANCO DE LA NACION ARGENTINA,LINK,Av. Alvear 1936,Recoleta,Comuna 2,3,100-150 m,22.0,0.03920685613180504,561.1263480560829,4463.505041356981,0.12571428571423568
11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Amancio Alcorta 1502,Barracas,Comuna 4,1,0-50 m,12.0,0.007841371226357887,1530.3445856081078,1530.3445856081078,1.0
11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Amancio Alcorta 1502,Barracas,Comuna 4,2,50-100 m,0.0,0.023524113679051644,0.0,1530.3445856081078,0.0
11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Amancio Alcorta 1502,Barracas,Comuna 4,3,100-150 m,14.0,0.03920685613180504,357.08040330841635,1530.3445856081078,0.23333333333324047
10886,BANCO DE LA NACION ARGENTINA,LINK,Av. Amancio Alcorta 3000,Nueva Pompeya,Comuna 4,1,0-50 m,4.0,0.007841371226357887,510.11486186936924,510.11486186936924,1.0
10886,BANCO DE LA NACION ARGENTINA,LINK,Av. Amancio Alcorta 3000,Nueva Pompeya,Comuna 4,2,50-100 m,8.0,0.023524113679051644,340.0765745798978,510.11486186936924,0.6666666666672907
10886,BANCO DE LA NACION ARGENTINA,LINK,Av. Amancio Alcorta 3000,Nueva Pompeya,Comuna 4,3,100-150 m,1.0,0.03920685613180504,25.50574309345831,510.11486186936924,0.0499999999999801
11713,BANCO DE LA NACION ARGENTINA,LINK,Av. Antártida Argentina s/n esquina Av. Gendarmerí,,,1,0-50 m,41.0,0.007841371226357887,5228.677334161035,5228.677334161035,1.0
11713,BANCO DE LA NACION ARGENTINA,LINK,Av. Antártida Argentina s/n esquina Av. Gendarmerí,,,2,50-100 m,82.0,0.023524113679051644,3485.784889443952,5228.677334161035,0.6666666666672906
11713,BANCO DE LA NACION ARGENTINA,LINK,Av. Antártida Argentina s/n esquina Av. Gendarmerí,,,3,100-150 m,55.0,0.03920685613180504,1402.8158701402072,5228.677334161035,0.2682926829267225
11431,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Asamblea 642, entre Bell Ville y Riglos",Parque Chacabuco,Comuna 7,1,0-50 m,23.0,0.007841371226357887,2933.160455748873,2933.160455748873,1.0
11431,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Asamblea 642, entre Bell Ville y Riglos",Parque Chacabuco,Comuna 7,2,50-100 m,34.0,0.023524113679051644,1445.3254419645655,2933.160455748873,0.49275362318886695
11431,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Asamblea 642, entre Bell Ville y Riglos",Parque Chacabuco,Comuna 7,3,100-150 m,43.0,0.03920685613180504,1096.7469530187075,2933.160455748873,0.3739130434781121
11429,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Asamblea 821/27,Parque Chacabuco,Comuna 7,1,0-50 m,13.0,0.007841371226357887,1657.87330107545,1657.87330107545,1.0
11429,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Asamblea 821/27,Parque Chacabuco,Comuna 7,2,50-100 m,21.0,0.023524113679051644,892.7010082722317,1657.87330107545,0.5384615384620425
11429,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Asamblea 821/27,Parque Chacabuco,Comuna 7,3,100-150 m,49.0,0.03920685613180504,1249.7814115794572,1657.87330107545,0.7538461538458539
11669,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Avellaneda 551,Caballito,Comuna 6,1,0-50 m,58.0,0.007841371226357887,7396.665497105854,7396.665497105854,1.0
11669,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Avellaneda 551,Caballito,Comuna 6,2,50-100 m,49.0,0.023524113679051644,2082.9690193018737,7396.665497105854,0.28160919540256235
11669,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Avellaneda 551,Caballito,Comuna 6,3,100-150 m,255.0,0.03920685613180504,6503.96448883187,7396.665497105854,0.8793103448272362
11180,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Belgrano 1715,Monserrat,Comuna 1,1,0-50 m,81.0,0.007841371226357887,10329.825952854728,10329.825952854728,1.0
11180,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Belgrano 1715,Monserrat,Comuna 1,2,50-100 m,17.0,0.023524113679051644,722.6627209822827,10329.825952854728,0.06995884773669098
11180,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Belgrano 1715,Monserrat,Comuna 1,3,100-150 m,3.0,0.03920685613180504,76.51722928037493,10329.825952854728,0.007407407407404459
11188,BANCO DE LA NACION ARGENTINA,LINK,Av. Belgrano 3106,Balvanera,Comuna 3,1,0-50 m,75.0,0.007841371226357887,9564.653660050673,9564.653660050673,1.0
11188,BANCO DE LA NACION ARGENTINA,LINK,Av. Belgrano 3106,Balvanera,Comuna 3,2,50-100 m,61.0,0.023524113679051644,2593.083881171721,9564.653660050673,0.2711111111113649
11188,BANCO DE LA NACION ARGENTINA,LINK,Av. Belgrano 3106,Balvanera,Comuna 3,3,100-150 m,93.0,0.03920685613180504,2372.034107691623,9564.653660050673,0.2479999999999013
11390,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Belgrano 840, entre Tacuarí y Piedras",Monserrat,Comuna 1,1,0-50 m,38.0,0.007841371226357887,4846.091187759008,4846.091187759008,1.0
11390,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Belgrano 840, entre Tacuarí y Piedras",Monserrat,Comuna 1,2,50-100 m,55.0,0.023524113679051644,2338.0264502367972,4846.091187759008,0.4824561403513287
11390,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Belgrano 840, entre Tacuarí y Piedras",Monserrat,Comuna 1,3,100-150 m,10.0,0.03920685613180504,255.05743093458312,4846.091187759008,0.05263157894734748
10965,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Boedo 800,Boedo,Comuna 5,1,0-50 m,15.0,0.007841371226357887,1912.9307320101345,1912.9307320101345,1.0
10965,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Boedo 800,Boedo,Comuna 5,2,50-100 m,6.0,0.023524113679051644,255.05743093492333,1912.9307320101345,0.13333333333345812
10965,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Av. Boedo 800,Boedo,Comuna 5,3,100-150 m,3.0,0.03920685613180504,76.51722928037493,1912.9307320101345,0.03999999999998408
10964,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Boedo 870,Boedo,Comuna 5,1,0-50 m,56.0,0.007841371226357887,7141.608066171169,7141.608066171169,1.0
10964,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Boedo 870,Boedo,Comuna 5,2,50-100 m,112.0,0.023524113679051644,4761.072044118569,7141.608066171169,0.6666666666672906
10964,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Boedo 870,Boedo,Comuna 5,3,100-150 m,37.0,0.03920685613180504,943.7124944579575,7141.608066171169,0.13214285714280455
11518,BANCO DE LA NACION ARGENTINA,LINK,Av. Boyacá 32,Flores,Comuna 7,1,0-50 m,98.0,0.007841371226357887,12497.814115799547,12497.814115799547,1.0
