id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,1,0-100 m,349,0.03136548490540953,11126.880424533427,11126.880424533427,1.0
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,2,100-200 m,1282,0.09409645471650507,13624.317769063935,11126.880424533427,1.2244508118397643
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,3,200-300 m,3324,0.15682742452706455,21195.272510684885,11126.880424533427,1.9048710601717145
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,4,300-400 m,3362,0.21955839433845675,15312.555050012628,11126.880424533427,1.376176831760526
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,5,400-500 m,3796,0.282289364148873,13447.19455316806,11126.880424533427,1.208532314548705
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,6,500-600 m,3337,0.3450203339603231,9671.89371622297,11126.880424533427,0.8692367804095039
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,1,0-100 m,136,0.03136548490540953,4335.976325892682,4335.976325892682,1.0
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,2,100-200 m,555,0.09409645471650507,5898.203090351391,4335.976325892682,1.3602941176430619
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,3,200-300 m,1045,0.15682742452706455,6663.375383172595,4335.976325892682,1.5367647058821874
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,4,300-400 m,1499,0.21955839433845675,6827.340874470235,4335.976325892682,1.5745798319285416
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,5,400-500 m,1248,0.282289364148873,4420.995469534704,4335.976325892682,1.0196078431365785
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,6,500-600 m,1694,0.3450203339603231,4909.855545484481,4335.976325892682,1.132352941173785
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,1,0-100 m,349,0.03136548490540953,11126.880424533427,11126.880424533427,1.0
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,2,100-200 m,827,0.09409645471650507,8788.853974271353,11126.880424533427,0.7898758357187871
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,3,200-300 m,1083,0.15682742452706455,6905.67994256069,11126.880424533427,0.6206303724927699
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,4,300-400 m,1227,0.21955839433845675,5588.490495647084,11126.880424533427,0.5022513303302099
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,5,400-500 m,1316,0.282289364148873,4661.883043195249,11126.880424533427,0.4189748487739978
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,6,500-600 m,1796,0.3450203339603231,5205.490294976463,11126.880424533427,0.46783016410412626
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,1,0-100 m,123,0.03136548490540953,3921.508000623529,3921.508000623529,1.0
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,2,100-200 m,529,0.09409645471650507,5621.890873506101,3921.508000623529,1.4336043360391482
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,3,200-300 m,852,0.15682742452706455,5432.723278912011,3921.508000623529,1.3853658536583873
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,4,300-400 m,1170,0.21955839433845675,5328.878467731938,3921.508000623529,1.358885017417951
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,5,400-500 m,1994,0.282289364148873,7063.673851163622,3921.508000623529,1.801264679312265
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,6,500-600 m,2122,0.3450203339603231,6150.362141392012,3921.508000623529,1.568366592753117
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,1,0-100 m,117,0.03136548490540953,3730.214927422381,3730.214927422381,1.0
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,2,100-200 m,143,0.09409645471650507,1519.7171926490973,3730.214927422381,0.40740740740621034
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,3,200-300 m,409,0.15682742452706455,2607.9622313086998,3730.214927422381,0.6991452991452237
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,4,300-400 m,620,0.21955839433845675,2823.85012819983,3730.214927422381,0.7570207570187225
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,5,400-500 m,742,0.282289364148873,2628.5085243547683,3730.214927422381,0.7046533713195706
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,6,500-600 m,1043,0.3450203339603231,3023.010232550362,3730.214927422381,0.8104118104098883
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,1,0-100 m,454,0.03136548490540953,14474.509205553513,14474.509205553513,1.0
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,2,100-200 m,887,0.09409645471650507,9426.497551606639,14474.509205553513,0.65124816446211
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,3,200-300 m,1401,0.15682742452706455,8933.386518492636,14474.509205553513,0.6171806167400216
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,4,300-400 m,1357,0.21955839433845675,6180.588103172854,14474.509205553513,0.4269981120189909
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,5,400-500 m,1902,0.282289364148873,6737.7671338581795,14474.509205553513,0.46549192364139463
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,6,500-600 m,2605,0.3450203339603231,7550.279631633455,14474.509205553513,0.5216259511401325
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,1,0-100 m,385,0.03136548490540953,12274.638863740314,12274.638863740314,1.0
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,2,100-200 m,976,0.09409645471650507,10372.33552465398,12274.638863740314,0.8450216450191621
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,3,200-300 m,1530,0.15682742452706455,9755.946733257484,12274.638863740314,0.7948051948051091
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,4,300-400 m,1551,0.21955839433845675,7064.179917480543,12274.638863740314,0.575510204080086
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,5,400-500 m,2366,0.282289364148873,8381.470577659544,12274.638863740314,0.6828282828278299
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,6,500-600 m,3057,0.3450203339603231,8860.34734506851,12274.638863740314,0.7218417945673552
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,1,0-100 m,429,0.03136548490540953,13677.454733882063,13677.454733882063,1.0
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,2,100-200 m,658,0.09409645471650507,6992.824564776965,13677.454733882063,0.5112665112650091
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,3,200-300 m,1163,0.15682742452706455,7415.794804430362,13677.454733882063,0.5421911421910838
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,4,300-400 m,1802,0.21955839433845675,8207.383759703378,13677.454733882063,0.6000666000649875
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,5,400-500 m,1609,0.282289364148873,5699.825088526714,13677.454733882063,0.41673141673114034
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,6,500-600 m,2106,0.3450203339603231,6103.988063040329,13677.454733882063,0.44628099173447877
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,1,0-100 m,759,0.03136548490540953,24198.57375994519,24198.57375994519,1.0
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,2,100-200 m,966,0.09409645471650507,10266.061595098097,24198.57375994519,0.4242424242411777
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,3,200-300 m,1740,0.15682742452706455,11094.998245665374,24198.57375994519,0.45849802371536563
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,4,300-400 m,1887,0.21955839433845675,8594.524503085613,24198.57375994519,0.35516657255692247
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,5,400-500 m,1273,0.282289364148873,4509.55707749814,24198.57375994519,0.18635631679097578
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,6,500-600 m,1724,0.3450203339603231,4996.806942393887,24198.57375994519,0.206491795424112
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,1,0-100 m,260,0.03136548490540953,8289.366505383068,8289.366505383068,1.0
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,2,100-200 m,719,0.09409645471650507,7641.095535067839,8289.366505383068,0.9217948717921634
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,3,200-300 m,1575,0.15682742452706455,10042.886343059174,8289.366505383068,1.2115384615383311
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,4,300-400 m,2705,0.21955839433845675,12320.184833517002,8289.366505383068,1.4862637362597422
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,5,400-500 m,3996,0.282289364148873,14155.687416875544,8289.366505383068,1.7076923076911752
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,6,500-600 m,3590,0.3450203339603231,10405.183830158965,8289.366505383068,1.2552447552417783
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,1,0-100 m,332,0.03136548490540953,10584.883383796841,10584.883383796841,1.0
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,2,100-200 m,1004,0.09409645471650507,10669.902527410446,10584.883383796841,1.0080321285110945
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,3,200-300 m,2152,0.15682742452706455,13722.089784294187,10584.883383796841,1.296385542168535
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,4,300-400 m,1932,0.21955839433845675,8799.48136722915,10584.883383796841,0.8313253012025853
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,5,400-500 m,2174,0.282289364148873,7701.317428500359,10584.883383796841,0.7275769745644438
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,6,500-600 m,2108,0.3450203339603231,6109.784822834289,10584.883383796841,0.5772179627587625
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,1,0-100 m,167,0.03136548490540953,5324.323870765279,5324.323870765279,1.0
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,2,100-200 m,527,0.09409645471650507,5600.636087594925,5324.323870765279,1.0518962075817395
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,3,200-300 m,871,0.15682742452706455,5553.875558606058,5324.323870765279,1.0431137724549775
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,4,300-400 m,1514,0.21955839433845675,6895.659829184747,5324.323870765279,1.295124037635527
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,5,400-500 m,2035,0.282289364148873,7208.914888223657,5324.323870765279,1.3539587491674319
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,6,500-600 m,1617,0.3450203339603231,4686.680293417005,5324.323870765279,0.8802395209559962
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,1,0-100 m,172,0.03136548490540953,5483.734765099569,5483.734765099569,1.0
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,2,100-200 m,933,0.09409645471650507,9915.357627563691,5483.734765099569,1.8081395348784082
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,3,200-300 m,1714,0.15682742452706455,10929.210915557731,5483.734765099569,1.9930232558137388
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,4,300-400 m,2771,0.21955839433845675,12620.788234260854,5483.734765099569,2.3014950166051102
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,5,400-500 m,3128,0.282289364148873,11080.82838838506,5483.734765099569,2.0206718346239825
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,6,500-600 m,2994,0.3450203339603231,8677.749411558758,5483.734765099569,1.5824524312858874
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,1,0-100 m,55,0.03136548490540953,1753.5198376771875,1753.5198376771875,1.0
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,2,100-200 m,161,0.09409645471650507,1711.010265849683,1753.5198376771875,0.9757575757547088
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,3,200-300 m,203,0.15682742452706455,1294.4164619942935,1753.5198376771875,0.7381818181817387
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,4,300-400 m,581,0.21955839433845675,2646.220845942099,1753.5198376771875,1.5090909090868536
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,5,400-500 m,906,0.282289364148873,3209.472672594906,1753.5198376771875,1.8303030303018166
40,Comisaria Vecinal 1-E,"HUERGO, ING. AV. 1500",PUERTO MADERO,1,6,500-600 m,1346,0.3450203339603231,3901.2193413353666,1753.5198376771875,2.2247933884244757
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,1,0-100 m,184,0.03136548490540953,5866.320911501864,5866.320911501864,1.0
