id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,dens_rel
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,1,0-300 m,4478,0.28228936414897915,15863.155218404618,15863.155218404618,1.0
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,2,300-600 m,9276,0.8468680924476529,10953.29967290434,15863.155218404618,0.6904868244746287
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,3,600-900 m,11429,1.4114468207453075,8097.364939307436,15863.155218404618,0.5104510942383504
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,4,900-1200 m,12857,1.9760255490442793,6506.494820483668,15863.155218404618,0.41016397626461837
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,1,0-300 m,1525,0.28228936414897915,5402.258085767539,5402.258085767539,1.0
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,2,300-600 m,3939,0.8468680924476529,4651.2556502339585,5402.258085767539,0.8609836065566496
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,3,600-900 m,5118,1.4114468207453075,3626.0664764524854,5402.258085767539,0.6712131147539026
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,4,900-1200 m,8150,1.9760255490442793,4124.440599435475,5402.258085767539,0.7634660421540161
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,1,0-300 m,1977,0.28228936414897915,7003.451957745853,7003.451957745853,1.0
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,2,300-600 m,3751,0.8468680924476529,4429.261219605884,7003.451957745853,0.6324397234862301
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,3,600-900 m,5754,1.4114468207453075,4076.667937770145,7003.451957745853,0.582094081942167
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,4,900-1200 m,8555,1.9760255490442793,4329.397463579201,7003.451957745853,0.6181805043712573
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,1,0-300 m,1319,0.28228936414897915,4672.510436149105,4672.510436149105,1.0
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,2,300-600 m,4650,0.8468680924476529,5490.819693726303,4672.510436149105,1.1751326762689085
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,3,600-900 m,6097,1.4114468207453075,4319.680990021649,4672.510436149105,0.9244882486729675
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,4,900-1200 m,9150,1.9760255490442793,4630.506930654551,4672.510436149105,0.9910105057937182
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,1,0-300 m,578,0.28228936414897915,2047.5443761138608,2047.5443761138608,1.0
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,2,300-600 m,2203,0.8468680924476529,2601.3496312428056,2047.5443761138608,1.2704728950392958
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,3,600-900 m,6118,1.4114468207453075,4334.559340159497,2047.5443761138608,2.1169550173004206
38,Comisaria Comunal 6,AVELLANEDA AV. 1548,CABALLITO,6,4,900-1200 m,8655,1.9760255490442793,4380.004096701108,2047.5443761138608,2.1391497775565393
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,1,0-300 m,2491,0.28228936414897915,8824.278617473405,8824.278617473405,1.0
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,2,300-600 m,5211,0.8468680924476529,6153.2605212919925,8824.278617473405,0.697310317141121
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,3,600-900 m,9872,1.4114468207453075,6994.241550515619,8824.278617473405,0.7926134082695399
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,4,900-1200 m,13679,1.9760255490442793,6922.481344745749,8824.278617473405,0.7844812754481925
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,1,0-300 m,2591,0.28228936414897915,9178.525049327012,9178.525049327012,1.0
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,2,300-600 m,8105,0.8468680924476529,9570.557767236922,9178.525049327012,1.0427119516265475
