id_estacion,nombre,linea,ramal,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
1,S/D,Mitre, Retiro - Mitre,Palermo,S/D,1,0-100 m,15.0,0.03136548490540953,478.23268300286935,478.23268300286935,1.0
1,S/D,Mitre, Retiro - Mitre,Palermo,S/D,2,100-200 m,259.0,0.09409645471650507,2752.494775497316,478.23268300286935,5.755555555538644
1,S/D,Mitre, Retiro - Mitre,Palermo,S/D,3,200-300 m,360.0,0.15682742452706455,2295.516878413526,478.23268300286935,4.799999999999483
35,S/D,Mitre, Retiro - Mitre,Belgrano,S/D,1,0-100 m,58.0,0.03136548490540953,1849.1663742777614,1849.1663742777614,1.0
35,S/D,Mitre, Retiro - Mitre,Belgrano,S/D,2,100-200 m,237.0,0.09409645471650507,2518.6921304743782,1849.1663742777614,1.3620689655132394
35,S/D,Mitre, Retiro - Mitre,Belgrano,S/D,3,200-300 m,270.0,0.15682742452706455,1721.637658810144,1849.1663742777614,0.9310344827585204
90,S/D,Mitre, Retiro - Mitre,Coghlan,S/D,1,0-100 m,41.0,0.03136548490540953,1307.1693335411762,1307.1693335411762,1.0
90,S/D,Mitre, Retiro - Mitre,Coghlan,S/D,2,100-200 m,127.0,0.09409645471650507,1349.6789053596879,1307.1693335411762,1.0325203252002182
90,S/D,Mitre, Retiro - Mitre,Coghlan,S/D,3,200-300 m,250.0,0.15682742452706455,1594.1089433427262,1307.1693335411762,1.21951219512182
91,S/D,Mitre, Retiro - Mitre,Colegiales,S/D,1,0-100 m,60.0,0.03136548490540953,1912.9307320114774,1912.9307320114774,1.0
91,S/D,Mitre, Retiro - Mitre,Colegiales,S/D,2,100-200 m,311.0,0.09409645471650507,3305.119209187897,1912.9307320114774,1.7277777777727013
91,S/D,Mitre, Retiro - Mitre,Colegiales,S/D,3,200-300 m,570.0,0.15682742452706455,3634.5683908214155,1912.9307320114774,1.8999999999997954
272,S/D,Mitre, Retiro - Mitre,Palermo,S/D,1,0-100 m,344.0,0.03136548490540953,10967.469530199138,10967.469530199138,1.0
272,S/D,Mitre, Retiro - Mitre,Palermo,S/D,2,100-200 m,397.0,0.09409645471650507,4219.075003368473,10967.469530199138,0.3846899224794898
272,S/D,Mitre, Retiro - Mitre,Palermo,S/D,3,200-300 m,592.0,0.15682742452706455,3774.8499778355754,10967.469530199138,0.3441860465115908
346,S/D,Mitre, Retiro - Mitre,Saavedra,S/D,1,0-100 m,97.0,0.03136548490540953,3092.5713500852216,3092.5713500852216,1.0
346,S/D,Mitre, Retiro - Mitre,Saavedra,S/D,2,100-200 m,267.0,0.09409645471650507,2837.5139191420208,3092.5713500852216,0.9175257731931804
346,S/D,Mitre, Retiro - Mitre,Saavedra,S/D,3,200-300 m,317.0,0.15682742452706455,2021.3301401585768,3092.5713500852216,0.65360824742261
34,S/D,Mitre, Retiro - Tigre,Belgrano,S/D,1,0-100 m,167.0,0.03136548490540953,5324.323870765279,5324.323870765279,1.0
34,S/D,Mitre, Retiro - Tigre,Belgrano,S/D,2,100-200 m,831.0,0.09409645471650507,8831.363546093706,5324.323870765279,1.6586826347256654
34,S/D,Mitre, Retiro - Tigre,Belgrano,S/D,3,200-300 m,651.0,0.15682742452706455,4151.059688464459,5324.323870765279,0.7796407185627903
287,S/D,Mitre, Retiro - Tigre,Nu\u00f1ez,S/D,1,0-100 m,77.0,0.03136548490540953,2454.9277727480626,2454.9277727480626,1.0
287,S/D,Mitre, Retiro - Tigre,Nu\u00f1ez,S/D,2,100-200 m,258.0,0.09409645471650507,2741.867382541728,2454.9277727480626,1.1168831168798352
287,S/D,Mitre, Retiro - Tigre,Nu\u00f1ez,S/D,3,200-300 m,523.0,0.15682742452706455,3334.875909472983,2454.9277727480626,1.3584415584414122
332,S/D,Mitre, Retiro - Tigre,Retiro,S/D,1,0-100 m,12.0,0.03136548490540953,382.58614640229547,382.58614640229547,1.0
332,S/D,Mitre, Retiro - Tigre,Retiro,S/D,2,100-200 m,123.0,0.09409645471650507,1307.1693335373354,382.58614640229547,3.416666666656628
332,S/D,Mitre, Retiro - Tigre,Retiro,S/D,3,200-300 m,1395.0,0.15682742452706455,8895.127903852412,382.58614640229547,23.249999999997495
337,S/D,Mitre, Retiro - Tigre,Nu\u00f1ez,S/D,1,0-100 m,54.0,0.03136548490540953,1721.6376588103296,1721.6376588103296,1.0
337,S/D,Mitre, Retiro - Tigre,Nu\u00f1ez,S/D,2,100-200 m,282.0,0.09409645471650507,2996.9248134758423,1721.6376588103296,1.7407407407356261
337,S/D,Mitre, Retiro - Tigre,Nu\u00f1ez,S/D,3,200-300 m,253.0,0.15682742452706455,1613.2382506628387,1721.6376588103296,0.9370370370369361
121,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Nueva Pompeya,S/D,1,0-100 m,26.0,0.03136548490540953,828.9366505383069,828.9366505383069,1.0
121,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Nueva Pompeya,S/D,2,100-200 m,116.0,0.09409645471650507,1232.7775828482188,828.9366505383069,1.4871794871751174
121,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Nueva Pompeya,S/D,3,200-300 m,351.0,0.15682742452706455,2238.1289564531876,828.9366505383069,2.6999999999997093
313,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Soldati,S/D,1,0-100 m,0.0,0.03136548490540953,0.0,0.0,
313,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Soldati,S/D,2,100-200 m,539.0,0.09409645471650507,5728.164803061982,0.0,
313,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Soldati,S/D,3,200-300 m,210.0,0.15682742452706455,1339.05151240789,0.0,
422,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Lugano,S/D,1,0-100 m,77.0,0.03136548490540953,2454.9277727480626,2454.9277727480626,1.0
422,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Lugano,S/D,2,100-200 m,436.0,0.09409645471650507,4633.543328636409,2454.9277727480626,1.8874458874403417
422,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Lugano,S/D,3,200-300 m,362.0,0.15682742452706455,2308.2697499602673,2454.9277727480626,0.940259740259639
427,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Soldati,S/D,1,0-100 m,66.0,0.03136548490540953,2104.223805212625,2104.223805212625,1.0
427,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Soldati,S/D,2,100-200 m,241.0,0.09409645471650507,2561.20170229673,2104.223805212625,1.2171717171681409
427,S/D,Belgrano Sur, Buenos Aires - M.C.G. Belgrano,Villa Soldati,S/D,3,200-300 m,319.0,0.15682742452706455,2034.0830117053185,2104.223805212625,0.9666666666665626
172,S/D,Roca, Plaza Constitución - Bosques-T,Barracas,S/D,1,0-100 m,114.0,0.03136548490540953,3634.568390821807,3634.568390821807,1.0
172,S/D,Roca, Plaza Constitución - Bosques-T,Barracas,S/D,2,100-200 m,158.0,0.09409645471650507,1679.1280869829186,3634.568390821807,0.4619883040922098
172,S/D,Roca, Plaza Constitución - Bosques-T,Barracas,S/D,3,200-300 m,247.0,0.15682742452706455,1574.9796360226135,3634.568390821807,0.43333333333328666
112,S/D,San Martin, Retiro (LSM) - Cabred,Villa Devoto,S/D,1,0-100 m,94.0,0.03136548490540953,2996.924813484648,2996.924813484648,1.0
112,S/D,San Martin, Retiro (LSM) - Cabred,Villa Devoto,S/D,2,100-200 m,218.0,0.09409645471650507,2316.7716643182043,2996.924813484648,0.7730496453877995
112,S/D,San Martin, Retiro (LSM) - Cabred,Villa Devoto,S/D,3,200-300 m,302.0,0.15682742452706455,1925.6836035580131,2996.924813484648,0.6425531914892925
415,S/D,San Martin, Retiro (LSM) - Cabred,Villa Del Parque,S/D,1,0-100 m,71.0,0.03136548490540953,2263.634699546915,2263.634699546915,1.0
415,S/D,San Martin, Retiro (LSM) - Cabred,Villa Del Parque,S/D,2,100-200 m,293.0,0.09409645471650507,3113.8261359873113,2263.634699546915,1.375586854456052
415,S/D,San Martin, Retiro (LSM) - Cabred,Villa Del Parque,S/D,3,200-300 m,437.0,0.15682742452706455,2786.502432963085,2263.634699546915,1.230985915492825
297,S/D,San Martin, Retiro (LSM) - Cabred,Palermo,S/D,1,0-100 m,119.0,0.03136548490540953,3793.979285156097,3793.979285156097,1.0
297,S/D,San Martin, Retiro (LSM) - Cabred,Palermo,S/D,2,100-200 m,472.0,0.09409645471650507,5016.12947503758,3793.979285156097,1.3221288515367315
297,S/D,San Martin, Retiro (LSM) - Cabred,Palermo,S/D,3,200-300 m,2274.0,0.15682742452706455,14500.014948645437,3793.979285156097,3.821848739495387
463,S/D,San Martin, Retiro (LSM) - Cabred,Retiro,S/D,1,0-100 m,21.0,0.03136548490540953,669.5257562040171,669.5257562040171,1.0
463,S/D,San Martin, Retiro (LSM) - Cabred,Retiro,S/D,2,100-200 m,148.0,0.09409645471650507,1572.8541574270378,669.5257562040171,2.349206349199447
463,S/D,San Martin, Retiro (LSM) - Cabred,Retiro,S/D,3,200-300 m,291.0,0.15682742452706455,1855.5428100509332,669.5257562040171,2.771428571428273
93,S/D,Roca, Plaza Constitución - La Plata,Constitucion,S/D,1,0-100 m,79.0,0.03136548490540953,2518.692130481779,2518.692130481779,1.0
93,S/D,Roca, Plaza Constitución - La Plata,Constitucion,S/D,2,100-200 m,532.0,0.09409645471650507,5653.773052372865,2518.692130481779,2.2447257383900285
93,S/D,Roca, Plaza Constitución - La Plata,Constitucion,S/D,3,200-300 m,1128.0,0.15682742452706455,7192.61955236238,2518.692130481779,2.8556962025313375
50,S/D,Sarmiento, Once - Moreno,Caballito,S/D,1,0-100 m,117.0,0.03136548490540953,3730.214927422381,3730.214927422381,1.0
50,S/D,Sarmiento, Once - Moreno,Caballito,S/D,2,100-200 m,393.0,0.09409645471650507,4176.565431546121,3730.214927422381,1.1196581196548299
50,S/D,Sarmiento, Once - Moreno,Caballito,S/D,3,200-300 m,821.0,0.15682742452706455,5235.053769937513,3730.214927422381,1.403418803418652
139,S/D,Sarmiento, Once - Moreno,Flores,S/D,1,0-100 m,183.0,0.03136548490540953,5834.438732635006,5834.438732635006,1.0
139,S/D,Sarmiento, Once - Moreno,Flores,S/D,2,100-200 m,520.0,0.09409645471650507,5526.244336905808,5834.438732635006,0.9471766848788199
139,S/D,Sarmiento, Once - Moreno,Flores,S/D,3,200-300 m,1368.0,0.15682742452706455,8722.964137971398,5834.438732635006,1.4950819672129538
140,S/D,Sarmiento, Once - Moreno,Floresta,S/D,1,0-100 m,216.0,0.03136548490540953,6886.550635241319,6886.550635241319,1.0
140,S/D,Sarmiento, Once - Moreno,Floresta,S/D,2,100-200 m,540.0,0.09409645471650507,5738.79219601757,6886.550635241319,0.8333333333308848
140,S/D,Sarmiento, Once - Moreno,Floresta,S/D,3,200-300 m,749.0,0.15682742452706455,4775.950394254807,6886.550635241319,0.6935185185184438
234,S/D,Sarmiento, Once - Moreno,Liniers,S/D,1,0-100 m,698.0,0.03136548490540953,22253.760849066854,22253.760849066854,1.0
234,S/D,Sarmiento, Once - Moreno,Liniers,S/D,2,100-200 m,1538.0,0.09409645471650507,16344.930365694487,22253.760849066854,0.7344794651363329
234,S/D,Sarmiento, Once - Moreno,Liniers,S/D,3,200-300 m,1345.0,0.15682742452706455,8576.306115183866,22253.760849066854,0.3853868194841992
293,S/D,Sarmiento, Once - Moreno,Balvanera,S/D,1,0-100 m,127.0,0.03136548490540953,4049.0367160909605,4049.0367160909605,1.0
293,S/D,Sarmiento, Once - Moreno,Balvanera,S/D,2,100-200 m,663.0,0.09409645471650507,7045.961529554906,4049.0367160909605,1.7401574803098476
293,S/D,Sarmiento, Once - Moreno,Balvanera,S/D,3,200-300 m,2925.0,0.15682742452706455,18651.074637109894,4049.0367160909605,4.6062992125979285
423,S/D,Sarmiento, Once - Moreno,Villa Luro,S/D,1,0-100 m,44.0,0.03136548490540953,1402.81587014175,1402.81587014175,1.0
423,S/D,Sarmiento, Once - Moreno,Villa Luro,S/D,2,100-200 m,222.0,0.09409645471650507,2359.2812361405568,1402.81587014175,1.6818181818132403
423,S/D,Sarmiento, Once - Moreno,Villa Luro,S/D,3,200-300 m,409.0,0.15682742452706455,2607.9622313086998,1402.81587014175,1.8590909090907086
150,S/D,Mitre, Retiro - J. L. Suárez,Villa Urquiza,S/D,1,0-100 m,206.0,0.03136548490540953,6567.728846572739,6567.728846572739,1.0
150,S/D,Mitre, Retiro - J. L. Suárez,Villa Urquiza,S/D,2,100-200 m,894.0,0.09409645471650507,9500.889302295755,6567.728846572739,1.4466019417433222
150,S/D,Mitre, Retiro - J. L. Suárez,Villa Urquiza,S/D,3,200-300 m,620.0,0.15682742452706455,3953.3901794899607,6567.728846572739,0.6019417475727508
236,S/D,Mitre, Retiro - J. L. Suárez,Villa Urquiza,S/D,1,0-100 m,70.0,0.03136548490540953,2231.752520680057,2231.752520680057,1.0
236,S/D,Mitre, Retiro - J. L. Suárez,Villa Urquiza,S/D,2,100-200 m,259.0,0.09409645471650507,2752.494775497316,2231.752520680057,1.2333333333297094
236,S/D,Mitre, Retiro - J. L. Suárez,Villa Urquiza,S/D,3,200-300 m,383.0,0.15682742452706455,2442.1749012010564,2231.752520680057,1.0942857142855964
318,S/D,Mitre, Retiro - J. L. Suárez,Villa Pueyrredon,S/D,1,0-100 m,40.0,0.03136548490540953,1275.2871546743183,1275.2871546743183,1.0
318,S/D,Mitre, Retiro - J. L. Suárez,Villa Pueyrredon,S/D,2,100-200 m,149.0,0.09409645471650507,1583.4815503826258,1275.2871546743183,1.2416666666630183
318,S/D,Mitre, Retiro - J. L. Suárez,Villa Pueyrredon,S/D,3,200-300 m,250.0,0.15682742452706455,1594.1089433427262,1275.2871546743183,1.2499999999998654
