id,nombre,linea,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
1,3 de Febrero,Mitre,Palermo,Comuna 14,1,0-100 m,17.0,0.03136548490540953,541.9970407365853,541.9970407365853,1.0
1,3 de Febrero,Mitre,Palermo,Comuna 14,2,100-200 m,330.0,0.09409645471650507,3507.0396753440705,541.9970407365853,6.4705882352751045
1,3 de Febrero,Mitre,Palermo,Comuna 14,3,200-300 m,477.0,0.15682742452706455,3041.5598638979213,541.9970407365853,5.611764705881748
35,Belgrano R,Mitre,Belgrano,Comuna 13,1,0-100 m,68.0,0.03136548490540953,2167.988162946341,2167.988162946341,1.0
35,Belgrano R,Mitre,Belgrano,Comuna 13,2,100-200 m,274.0,0.09409645471650507,2911.9056698311374,2167.988162946341,1.3431372548980143
35,Belgrano R,Mitre,Belgrano,Comuna 13,3,200-300 m,338.0,0.15682742452706455,2155.235291399366,2167.988162946341,0.9941176470587165
90,Coghlan,Mitre,Coghlan,Comuna 12,1,0-100 m,49.0,0.03136548490540953,1562.22676447604,1562.22676447604,1.0
90,Coghlan,Mitre,Coghlan,Comuna 12,2,100-200 m,153.0,0.09409645471650507,1625.9911222049782,1562.22676447604,1.040816326527554
90,Coghlan,Mitre,Coghlan,Comuna 12,3,200-300 m,304.0,0.15682742452706455,1938.436475104755,1562.22676447604,1.2408163265304784
91,Colegiales,Mitre,Colegiales,Comuna 13,1,0-100 m,65.0,0.03136548490540953,2072.341626345767,2072.341626345767,1.0
91,Colegiales,Mitre,Colegiales,Comuna 13,2,100-200 m,357.0,0.09409645471650507,3793.9792851449492,2072.341626345767,1.8307692307638517
91,Colegiales,Mitre,Colegiales,Comuna 13,3,200-300 m,685.0,0.15682742452706455,4367.85850475907,2072.341626345767,2.107692307692081
272,Ministro Carranza,Mitre,Palermo,Comuna 14,1,0-100 m,392.0,0.03136548490540953,12497.81411580832,12497.81411580832,1.0
272,Ministro Carranza,Mitre,Palermo,Comuna 14,2,100-200 m,447.0,0.09409645471650507,4750.444651147877,12497.81411580832,0.38010204081520965
272,Ministro Carranza,Mitre,Palermo,Comuna 14,3,200-300 m,689.0,0.15682742452706455,4393.3642478525535,12497.81411580832,0.3515306122448601
346,Saavedra,Mitre,Saavedra,Comuna 12,1,0-100 m,115.0,0.03136548490540953,3666.450569688665,3666.450569688665,1.0
346,Saavedra,Mitre,Saavedra,Comuna 12,2,100-200 m,330.0,0.09409645471650507,3507.0396753440705,3666.450569688665,0.9565217391276243
346,Saavedra,Mitre,Saavedra,Comuna 12,3,200-300 m,445.0,0.15682742452706455,2837.5139191500525,3666.450569688665,0.7739130434781776
34,Belgrano C,Mitre,Belgrano,Comuna 13,1,0-100 m,214.0,0.03136548490540953,6822.786277507603,6822.786277507603,1.0
34,Belgrano C,Mitre,Belgrano,Comuna 13,2,100-200 m,972.0,0.09409645471650507,10329.825952831627,6822.786277507603,1.5140186915843366
34,Belgrano C,Mitre,Belgrano,Comuna 13,3,200-300 m,767.0,0.15682742452706455,4890.726238175484,6822.786277507603,0.7168224299064648
287,Núñez,Mitre,Nu\u00f1ez,Comuna 13,1,0-100 m,85.0,0.03136548490540953,2709.9852036829266,2709.9852036829266,1.0
287,Núñez,Mitre,Nu\u00f1ez,Comuna 13,2,100-200 m,311.0,0.09409645471650507,3305.119209187897,2709.9852036829266,1.2196078431336712
287,Núñez,Mitre,Nu\u00f1ez,Comuna 13,3,200-300 m,615.0,0.15682742452706455,3921.508000623106,2709.9852036829266,1.4470588235292556
332,Retiro LM,Mitre,Retiro,Comuna 1,1,0-100 m,12.0,0.03136548490540953,382.58614640229547,382.58614640229547,1.0
332,Retiro LM,Mitre,Retiro,Comuna 1,2,100-200 m,136.0,0.09409645471650507,1445.3254419599807,382.58614640229547,3.777777777766678
332,Retiro LM,Mitre,Retiro,Comuna 1,3,200-300 m,1560.0,0.15682742452706455,9947.23980645861,382.58614640229547,25.9999999999972
337,Rivadavia,Mitre,Nu\u00f1ez,Comuna 13,1,0-100 m,85.0,0.03136548490540953,2709.9852036829266,2709.9852036829266,1.0
337,Rivadavia,Mitre,Nu\u00f1ez,Comuna 13,2,100-200 m,438.0,0.09409645471650507,4654.798114547585,2709.9852036829266,1.7176470588184825
337,Rivadavia,Mitre,Nu\u00f1ez,Comuna 13,3,200-300 m,347.0,0.15682742452706455,2212.6232133597036,2709.9852036829266,0.816470588235206
121,Dr. Sáenz,Belgrano Sur,Nueva Pompeya,Comuna 4,1,0-100 m,33.0,0.03136548490540953,1052.1119026063125,1052.1119026063125,1.0
121,Dr. Sáenz,Belgrano Sur,Nueva Pompeya,Comuna 4,2,100-200 m,147.0,0.09409645471650507,1562.2267644714498,1052.1119026063125,1.4848484848441221
121,Dr. Sáenz,Belgrano Sur,Nueva Pompeya,Comuna 4,3,200-300 m,440.0,0.15682742452706455,2805.631740283198,1052.1119026063125,2.6666666666663796
313,Presidente Illia,Belgrano Sur,Villa Soldati,Comuna 8,1,0-100 m,0.0,0.03136548490540953,0.0,0.0,
313,Presidente Illia,Belgrano Sur,Villa Soldati,Comuna 8,2,100-200 m,727.0,0.09409645471650507,7726.1146787125435,0.0,
313,Presidente Illia,Belgrano Sur,Villa Soldati,Comuna 8,3,200-300 m,270.0,0.15682742452706455,1721.637658810144,0.0,
422,Villa Lugano,Belgrano Sur,Villa Lugano,Comuna 8,1,0-100 m,105.0,0.03136548490540953,3347.6287810200856,3347.6287810200856,1.0
422,Villa Lugano,Belgrano Sur,Villa Lugano,Comuna 8,2,100-200 m,564.0,0.09409645471650507,5993.8496269516845,3347.6287810200856,1.7904761904709297
422,Villa Lugano,Belgrano Sur,Villa Lugano,Comuna 8,3,200-300 m,481.0,0.15682742452706455,3067.065606991405,3347.6287810200856,0.9161904761903774
427,Villa Soldati,Belgrano Sur,Villa Soldati,Comuna 8,1,0-100 m,84.0,0.03136548490540953,2678.1030248160682,2678.1030248160682,1.0
427,Villa Soldati,Belgrano Sur,Villa Soldati,Comuna 8,2,100-200 m,300.0,0.09409645471650507,3188.217886676428,2678.1030248160682,1.1904761904726926
427,Villa Soldati,Belgrano Sur,Villa Soldati,Comuna 8,3,200-300 m,396.0,0.15682742452706455,2525.068566254878,2678.1030248160682,0.9428571428570413
172,Hipólito Yrigoyen,Roca,Barracas,Comuna 4,1,0-100 m,148.0,0.03136548490540953,4718.562472294978,4718.562472294978,1.0
172,Hipólito Yrigoyen,Roca,Barracas,Comuna 4,2,100-200 m,214.0,0.09409645471650507,2274.262092495852,4718.562472294978,0.4819819819805658
172,Hipólito Yrigoyen,Roca,Barracas,Comuna 4,3,200-300 m,342.0,0.15682742452706455,2180.7410344928494,4718.562472294978,0.46216216216211237
112,Devoto,San Martin,Villa Devoto,Comuna 11,1,0-100 m,107.0,0.03136548490540953,3411.3931387538014,3411.3931387538014,1.0
112,Devoto,San Martin,Villa Devoto,Comuna 11,2,100-200 m,270.0,0.09409645471650507,2869.396098008785,3411.3931387538014,0.8411214953246313
112,Devoto,San Martin,Villa Devoto,Comuna 11,3,200-300 m,410.0,0.15682742452706455,2614.338667082071,3411.3931387538014,0.7663551401868334
415,Villa del Parque,San Martin,Villa Del Parque,Comuna 11,1,0-100 m,80.0,0.03136548490540953,2550.5743093486367,2550.5743093486367,1.0
415,Villa del Parque,San Martin,Villa Del Parque,Comuna 11,2,100-200 m,378.0,0.09409645471650507,4017.154537212299,2550.5743093486367,1.574999999995372
415,Villa del Parque,San Martin,Villa Del Parque,Comuna 11,3,200-300 m,551.0,0.15682742452706455,3513.4161111273684,2550.5743093486367,1.3774999999998516
297,Palermo,San Martin,Palermo,Comuna 14,1,0-100 m,130.0,0.03136548490540953,4144.683252691534,4144.683252691534,1.0
297,Palermo,San Martin,Palermo,Comuna 14,2,100-200 m,560.0,0.09409645471650507,5951.340055129332,4144.683252691534,1.4358974358932168
297,Palermo,San Martin,Palermo,Comuna 14,3,200-300 m,2678.0,0.15682742452706455,17076.09500108728,4144.683252691534,4.119999999999556
463,Retiro LSM,San Martin,Retiro,Comuna 1,1,0-100 m,23.0,0.03136548490540953,733.290113937733,733.290113937733,1.0
463,Retiro LSM,San Martin,Retiro,Comuna 1,2,100-200 m,146.0,0.09409645471650507,1551.5993715158615,733.290113937733,2.11594202897929
463,Retiro LSM,San Martin,Retiro,Comuna 1,3,200-300 m,320.0,0.15682742452706455,2040.4594474786895,733.290113937733,2.782608695651874
93,Constitución,Roca,Constitucion,Comuna 1,1,0-100 m,93.0,0.03136548490540953,2965.04263461779,2965.04263461779,1.0
93,Constitución,Roca,Constitucion,Comuna 1,2,100-200 m,685.0,0.09409645471650507,7279.764174577844,2965.04263461779,2.4551971326092734
93,Constitución,Roca,Constitucion,Comuna 1,3,200-300 m,1515.0,0.15682742452706455,9660.30019665692,2965.04263461779,3.258064516128681
50,Caballito,Sarmiento,Caballito,Comuna 6,1,0-100 m,133.0,0.03136548490540953,4240.329789292108,4240.329789292108,1.0
50,Caballito,Sarmiento,Caballito,Comuna 6,2,100-200 m,469.0,0.09409645471650507,4984.247296170815,4240.329789292108,1.1754385964877743
50,Caballito,Sarmiento,Caballito,Comuna 6,3,200-300 m,985.0,0.15682742452706455,6280.789236770341,4240.329789292108,1.4812030075186373
139,Flores,Sarmiento,Flores,Comuna 7,1,0-100 m,238.0,0.03136548490540953,7587.958570312194,7587.958570312194,1.0
139,Flores,Sarmiento,Flores,Comuna 7,2,100-200 m,747.0,0.09409645471650507,7938.662537824305,7587.958570312194,1.0462184873918838
139,Flores,Sarmiento,Flores,Comuna 7,3,200-300 m,1725.0,0.15682742452706455,10999.35170906481,7587.958570312194,1.4495798319326167
140,Floresta,Sarmiento,Floresta,Comuna 10,1,0-100 m,256.0,0.03136548490540953,8161.837789915637,8161.837789915637,1.0
140,Floresta,Sarmiento,Floresta,Comuna 10,2,100-200 m,680.0,0.09409645471650507,7226.6272097999035,8161.837789915637,0.8854166666640652
140,Floresta,Sarmiento,Floresta,Comuna 10,3,200-300 m,966.0,0.15682742452706455,6159.636957076294,8161.837789915637,0.7546874999999187
234,Liniers,Sarmiento,Liniers,Comuna 9,1,0-100 m,820.0,0.03136548490540953,26143.386670823525,26143.386670823525,1.0
234,Liniers,Sarmiento,Liniers,Comuna 9,2,100-200 m,1909.0,0.09409645471650507,20287.69315221767,26143.386670823525,0.7760162601603215
234,Liniers,Sarmiento,Liniers,Comuna 9,3,200-300 m,1737.0,0.15682742452706455,11075.86893834526,26143.386670823525,0.42365853658532016
293,Once,Sarmiento,Balvanera,Comuna 3,1,0-100 m,156.0,0.03136548490540953,4973.619903229841,4973.619903229841,1.0
293,Once,Sarmiento,Balvanera,Comuna 3,2,100-200 m,836.0,0.09409645471650507,8884.500510871645,4973.619903229841,1.7863247863195377
293,Once,Sarmiento,Balvanera,Comuna 3,3,200-300 m,3610.0,0.15682742452706455,23018.933141868965,4973.619903229841,4.62820512820463
423,Villa Luro,Sarmiento,Villa Luro,Comuna 10,1,0-100 m,48.0,0.03136548490540953,1530.3445856091819,1530.3445856091819,1.0
423,Villa Luro,Sarmiento,Villa Luro,Comuna 10,2,100-200 m,260.0,0.09409645471650507,2763.122168452904,1530.3445856091819,1.8055555555502505
