id_cajero,densidad_1,densidad_2,densidad_3,id_original,banco,red,barrio,comuna,tipo
0,1530.3445856081078,170.0382872899489,0.0,11073,NUEVO BANCO DE SANTA FE S.A.,LINK,San Nicolas,Comuna 1,A (0-50m)
1,6248.9070578997735,2082.9690193018737,459.10337568224963,11059,BANCO DE LA NACION ARGENTINA,LINK,San Nicolas,Comuna 1,A (0-50m)
2,1020.2297237387385,127.52871546746167,76.51722928037493,11033,BANCO DEL CHUBUT S.A.,LINK,San Nicolas,Comuna 1,A (0-50m)
3,1275.2871546734232,170.0382872899489,25.50574309345831,11069,BANCO DE SANTA CRUZ S.A.,LINK,San Nicolas,Comuna 1,A (0-50m)
4,1020.2297237387385,255.05743093492333,0.0,11046,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,San Nicolas,Comuna 1,A (0-50m)
5,13390.515124070942,382.586146402385,0.0,11020,BANCO DE FORMOSA S.A.,LINK,San Nicolas,Comuna 1,A (0-50m)
6,3315.7466021509,1530.34458560954,1045.7354668317907,10883,BANCO DE LA NACION ARGENTINA,LINK,Nueva Pompeya,Comuna 4,A (0-50m)
7,1912.9307320101345,680.1531491597956,25.50574309345831,11784,BANCO DE LA NACION ARGENTINA,LINK,,,A (0-50m)
8,0.0,850.1914364497444,484.60911877570794,11697,CABAL COOP. LTDA.,LINK,Puerto Madero,Comuna 1,B (50-100m)
9,892.7010082713962,510.11486186984666,0.0,11381,BANCO DE LA NACION ARGENTINA,LINK,Monserrat,Comuna 1,A (0-50m)
10,6376.435773367116,1615.3637292545145,714.1608066168327,11396,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Monserrat,Comuna 1,A (0-50m)
11,1402.8158701407654,3443.275317621465,459.10337568224963,11386,BANCO DE LA NACION ARGENTINA,LINK,Monserrat,Comuna 1,B (50-100m)
12,1020.2297237387385,892.7010082722317,663.1493204299161,11393,CABAL COOP. LTDA.,LINK,Monserrat,Comuna 1,A (0-50m)
13,2040.459447477477,510.11486186984666,892.7010082710409,11206,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Villa Crespo,Comuna 15,A (0-50m)
14,6121.378342432431,2253.0073065918227,1096.7469530187075,11709,BANCO DE LA NACION ARGENTINA,LINK,Retiro,Comuna 1,A (0-50m)
15,16833.790441689183,4335.976325893696,1173.2641822990824,11667,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
16,7141.608066171169,2805.631740284157,2167.9881629439565,11665,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
17,9437.124944583331,3018.179599396593,1173.2641822990824,11683,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Parque Patricios,Comuna 4,A (0-50m)
18,8799.481367246619,2210.4977347693357,4871.596930850537,11678,BANCO DE LA NACION ARGENTINA,LINK,Boca,Comuna 4,A (0-50m)
19,21297.295483046164,13305.4959804385,2346.528364598165,11679,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Boca,Comuna 4,A (0-50m)
20,892.7010082713962,170.0382872899489,0.0,11775,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Monte Castro,Comuna 10,A (0-50m)
21,127.52871546734231,42.509571822487224,229.55168784112482,11226,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Monte Castro,Comuna 10,C (100-150m)
22,5228.677334161035,1530.34458560954,663.1493204299161,11776,BANCO DE LA NACION ARGENTINA,LINK,Monte Castro,Comuna 10,A (0-50m)
23,892.7010082713962,552.6244336923339,510.11486186916625,11534,BANCO DE LA NACION ARGENTINA,LINK,Liniers,Comuna 9,A (0-50m)
24,5356.206049628377,1657.8733010770018,382.58614640187466,11228,BANCO DE LA NACION ARGENTINA,LINK,Villa Ortuzar,Comuna 15,A (0-50m)
25,4463.505041356981,2210.4977347693357,561.1263480560829,10988,BANCO DE LA NACION ARGENTINA,LINK,Recoleta,Comuna 2,A (0-50m)
26,1530.3445856081078,0.0,357.08040330841635,11676,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Barracas,Comuna 4,A (0-50m)
27,510.11486186936924,340.0765745798978,25.50574309345831,10886,BANCO DE LA NACION ARGENTINA,LINK,Nueva Pompeya,Comuna 4,A (0-50m)
28,5228.677334161035,3485.784889443952,1402.8158701402072,11713,BANCO DE LA NACION ARGENTINA,LINK,,,A (0-50m)
29,2933.160455748873,1445.3254419645655,1096.7469530187075,11431,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Parque Chacabuco,Comuna 7,A (0-50m)
30,1657.87330107545,892.7010082722317,1249.7814115794572,11429,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Parque Chacabuco,Comuna 7,A (0-50m)
31,7396.665497105854,2082.9690193018737,6503.96448883187,11669,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
32,10329.825952854728,722.6627209822827,76.51722928037493,11180,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Monserrat,Comuna 1,A (0-50m)
33,9564.653660050673,2593.083881171721,2372.034107691623,11188,BANCO DE LA NACION ARGENTINA,LINK,Balvanera,Comuna 3,A (0-50m)
34,4846.091187759008,2338.0264502367972,255.05743093458312,11390,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Monserrat,Comuna 1,A (0-50m)
35,1912.9307320101345,255.05743093492333,76.51722928037493,10965,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Boedo,Comuna 5,A (0-50m)
36,7141.608066171169,4761.072044118569,943.7124944579575,10964,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Boedo,Comuna 5,A (0-50m)
