id,nombre,anillo,distancia,radio_in,radio_out,cantidad_delitos,area_m2,area_km2,densidad_delitos_km2
1,Comisaria Vecinal 1-D,1,0-300 m,0,300,4478,282289.36414897913,0.28228936414897915,15863.155218404618
1,Comisaria Vecinal 1-D,2,300-600 m,300,600,9276,846868.092447653,0.8468680924476529,10953.29967290434
1,Comisaria Vecinal 1-D,3,600-900 m,600,900,11429,1411446.8207453075,1.4114468207453075,8097.364939307436
1,Comisaria Vecinal 1-D,4,900-1200 m,900,1200,12857,1976025.5490442794,1.9760255490442793,6506.494820483668
37,Comisaria Vecinal 5-B,1,0-300 m,0,300,1525,282289.36414897913,0.28228936414897915,5402.258085767539
37,Comisaria Vecinal 5-B,2,300-600 m,300,600,3939,846868.092447653,0.8468680924476529,4651.2556502339585
37,Comisaria Vecinal 5-B,3,600-900 m,600,900,5118,1411446.8207453075,1.4114468207453075,3626.0664764524854
37,Comisaria Vecinal 5-B,4,900-1200 m,900,1200,8150,1976025.5490442794,1.9760255490442793,4124.440599435475
39,Comisaria Vecinal 6-A,1,0-300 m,0,300,1977,282289.36414897913,0.28228936414897915,7003.451957745853
39,Comisaria Vecinal 6-A,2,300-600 m,300,600,3751,846868.092447653,0.8468680924476529,4429.261219605884
39,Comisaria Vecinal 6-A,3,600-900 m,600,900,5754,1411446.8207453075,1.4114468207453075,4076.667937770145
39,Comisaria Vecinal 6-A,4,900-1200 m,900,1200,8555,1976025.5490442794,1.9760255490442793,4329.397463579201
8,Comisaria Vecinal 7-B,1,0-300 m,0,300,1319,282289.36414897913,0.28228936414897915,4672.510436149105
8,Comisaria Vecinal 7-B,2,300-600 m,300,600,4650,846868.092447653,0.8468680924476529,5490.819693726303
8,Comisaria Vecinal 7-B,3,600-900 m,600,900,6097,1411446.8207453075,1.4114468207453075,4319.680990021649
8,Comisaria Vecinal 7-B,4,900-1200 m,900,1200,9150,1976025.5490442794,1.9760255490442793,4630.506930654551
38,Comisaria Comunal 6,1,0-300 m,0,300,578,282289.36414897913,0.28228936414897915,2047.5443761138608
38,Comisaria Comunal 6,2,300-600 m,300,600,2203,846868.092447653,0.8468680924476529,2601.3496312428056
38,Comisaria Comunal 6,3,600-900 m,600,900,6118,1411446.8207453075,1.4114468207453075,4334.559340159497
38,Comisaria Comunal 6,4,900-1200 m,900,1200,8655,1976025.5490442794,1.9760255490442793,4380.004096701108
10,Comisaria Comunal 1,1,0-300 m,0,300,2491,282289.36414897913,0.28228936414897915,8824.278617473405
10,Comisaria Comunal 1,2,300-600 m,300,600,5211,846868.092447653,0.8468680924476529,6153.2605212919925
10,Comisaria Comunal 1,3,600-900 m,600,900,9872,1411446.8207453075,1.4114468207453075,6994.241550515619
10,Comisaria Comunal 1,4,900-1200 m,900,1200,13679,1976025.5490442794,1.9760255490442793,6922.481344745749
43,Comisaria Vecinal 1-C (edificio anexo),1,0-300 m,0,300,2591,282289.36414897913,0.28228936414897915,9178.525049327012
43,Comisaria Vecinal 1-C (edificio anexo),2,300-600 m,300,600,8105,846868.092447653,0.8468680924476529,9570.557767236922
43,Comisaria Vecinal 1-C (edificio anexo),3,600-900 m,600,900,16897,1411446.8207453075,1.4114468207453075,11971.403918057376
43,Comisaria Vecinal 1-C (edificio anexo),4,900-1200 m,900,1200,14487,1976025.5490442794,1.9760255490442793,7331.382940370763
11,Comisaria Comunal 2,1,0-300 m,0,300,2005,282289.36414897913,0.28228936414897915,7102.640958664863
11,Comisaria Comunal 2,2,300-600 m,300,600,4859,846868.092447653,0.8468680924476529,5737.6113745841085
11,Comisaria Comunal 2,3,600-900 m,600,900,9339,1411446.8207453075,1.4114468207453075,6616.614854159781
11,Comisaria Comunal 2,4,900-1200 m,900,1200,12582,1976025.5490442794,1.9760255490442793,6367.326579398422
42,Comisaria Vecinal 1-C,1,0-300 m,0,300,3082,282289.36414897913,0.28228936414897915,10917.875029728233
42,Comisaria Vecinal 1-C,2,300-600 m,300,600,6171,846868.092447653,0.8468680924476529,7286.849103222584
42,Comisaria Vecinal 1-C,3,600-900 m,600,900,10506,1411446.8207453075,1.4114468207453075,7443.426026105864
42,Comisaria Vecinal 1-C,4,900-1200 m,900,1200,15436,1976025.5490442794,1.9760255490442793,7811.639888697667
29,Comisaria Vecinal 2-B,1,0-300 m,0,300,2227,282289.36414897913,0.28228936414897915,7889.068037379876
29,Comisaria Vecinal 2-B,2,300-600 m,300,600,8914,846868.092447653,0.8468680924476529,10525.842311801347
29,Comisaria Vecinal 2-B,3,600-900 m,600,900,11709,1411446.8207453075,1.4114468207453075,8295.7429411454
29,Comisaria Vecinal 2-B,4,900-1200 m,900,1200,15101,1976025.5490442794,1.9760255490442793,7642.107667739277
2,Comisaria Vecinal 1-B (edificio anexo),1,0-300 m,0,300,3016,282289.36414897913,0.28228936414897915,10684.072384704852
2,Comisaria Vecinal 1-B (edificio anexo),2,300-600 m,300,600,6942,846868.092447653,0.8468680924476529,8197.26243308559
2,Comisaria Vecinal 1-B (edificio anexo),3,600-900 m,600,900,10248,1411446.8207453075,1.4114468207453075,7260.634867269455
2,Comisaria Vecinal 1-B (edificio anexo),4,900-1200 m,900,1200,12215,1976025.5490442794,1.9760255490442793,6181.6002358410215
41,Comisaria Vecinal 3-B,1,0-300 m,0,300,1390,282289.36414897913,0.28228936414897915,4924.025402765167
41,Comisaria Vecinal 3-B,2,300-600 m,300,600,4571,846868.092447653,0.8468680924476529,5397.534800004932
41,Comisaria Vecinal 3-B,3,600-900 m,600,900,6555,1411446.8207453075,1.4114468207453075,4644.170721599461
41,Comisaria Vecinal 3-B,4,900-1200 m,900,1200,8537,1976025.5490442794,1.9760255490442793,4320.288269617257
34,Comisaria Vecinal 14-A,1,0-300 m,0,300,2427,282289.36414897913,0.28228936414897915,8597.560901087094
34,Comisaria Vecinal 14-A,2,300-600 m,300,600,7786,846868.092447653,0.8468680924476529,9193.875728032903
34,Comisaria Vecinal 14-A,3,600-900 m,600,900,8476,1411446.8207453075,1.4114468207453075,6005.18551278063
34,Comisaria Vecinal 14-A,4,900-1200 m,900,1200,12472,1976025.5490442794,1.9760255490442793,6311.659282964324
40,Comisaria Vecinal 1-E,1,0-300 m,0,300,342,282289.36414897913,0.28228936414897915,1211.5227969393434
40,Comisaria Vecinal 1-E,2,300-600 m,300,600,2434,846868.092447653,0.8468680924476529,2874.119383769854
40,Comisaria Vecinal 1-E,3,600-900 m,600,900,4529,1411446.8207453075,1.4114468207453075,3208.7641797290557
40,Comisaria Vecinal 1-E,4,900-1200 m,900,1200,8219,1976025.5490442794,1.9760255490442793,4159.359176289591
12,Comisaria Vecinal 4-C,1,0-300 m,0,300,1956,282289.36414897913,0.28228936414897915,6929.060207056595
