feature,importance
promedio_historico_grid,0.49456808
promedio_historico_trimestre_grid,0.17559706
promedio_6_meses_franja,0.06329074
promedio_historico_franja,0.034909077
promedio_6_meses_grid,0.03260145
promedio_3_meses_franja,0.013421073
anio,0.013389398
mes_num,0.011130738
hotspot_mes_anterior_franja,0.01078423
hotspot_mes_anterior_grid,0.01026895
cant_colectivos,0.008957057
cant_gastronomia,0.008195035
delitos_historicos_grid,0.008178615
dist_min_colectivos_m,0.0077844635
trimestre,0.00772643
dist_min_gastronomia_m,0.007676331
promedio_3_meses_grid,0.0073677567
promedio_historico_mes_calendario_grid,0.0067727333
cant_alojamientos,0.0064919293
porcentaje_en_caba,0.0060233464
delitos_historicos_franja,0.0057678213
dist_min_cajeros_m,0.0057427464
dist_min_alojamientos_m,0.0055797216
dist_min_comisarias_m,0.0054016877
delitos_mes_anterior_grid,0.005389903
area_interseccion_caba_m2,0.0052334364
promedio_historico_trimestre_franja,0.0048764437
dist_min_estaciones_tren_m,0.0048124357
cant_comisarias,0.0046233158
promedio_historico_mes_calendario_franja,0.0041261194
cant_cajeros,0.0040001418
cant_estaciones_tren,0.0036091546
delitos_mes_anterior_franja,0.0029928214
semestre,0.0027097925
area_celda_m2,0.0
