id,nombre,direccion,barrio,comuna,pendiente_relativa_a1,r2_relativa_a1
12,Comisaria Vecinal 4-C,PINZON 456,BOCA,4,-0.2310668029993413,0.9566852202625581
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,-0.20056080463277945,0.8523110346312208
1,Comisaria Vecinal 1-D,LAVALLE 451,SAN NICOLAS,1,-0.19495438014424232,0.9449660053855732
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,-0.171411164988246,0.9772353775618834
13,Comisaria Vecinal 4-D (edificio anexo),"MONTES DE OCA, MANUEL 861",BARRACAS,4,-0.15698117812154072,0.9061490759462002
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,-0.15203384134898604,0.7284856953322875
6,Comisaria Vecinal 3-A,LAVALLE 2625,BALVANERA,3,-0.13664548982778418,0.6500879110103939
2,Comisaria Vecinal 1-B (edificio anexo),PERU 1056,SAN TELMO,1,-0.13519230769238785,0.9423046042867395
56,Comisaria Comunal 12,RAMALLO 4398,SAAVEDRA,12,-0.12428103044503858,0.7086539215093833
39,Comisaria Vecinal 6-A,DIAZ VELEZ AV. 5152,CABALLITO,6,-0.11958041284302912,0.6222949372659673
51,Comisaria Vecinal 7-C,GAONA AV. 2738,FLORES,7,-0.11824357218935248,0.7966279436318972
34,Comisaria Vecinal 14-A,"ALVAREZ, JULIAN 2373",PALERMO,14,-0.1168516883474509,0.653899773061345
54,Comisaria Vecinal 10-C,BASUALDO 165,VILLA LURO,10,-0.11046132611359774,0.8667271965272358
37,Comisaria Vecinal 5-B,MUÑIZ 1250,BOEDO,5,-0.08993723653406986,0.6814187544416582
48,Comisaria Comunal 7,"BONORINO, ESTEBAN, Cnel. AV. 258",FLORES,7,-0.0890105667628274,0.7513875491906323
42,Comisaria Vecinal 1-C,SAN JUAN AV. 1757,CONSTITUCION,1,-0.08391860572923669,0.47506383151705966
27,Comisaria Vecinal 11-B,"CUBAS, JOSE 4154",VILLA DEVOTO,11,-0.07824736896957979,0.47845464734904336
44,Comisaria Comunal 8,DIAZ ANA Y CAFAYATE,VILLA LUGANO,8,-0.0690695171288761,0.7543257922190616
18,Comisaria Vecinal 13-B,CUBA 3145,NUÑEZ,13,-0.06520481736799691,0.39809894849982624
57,Comisaria Comunal 15,GUZMAN 396,CHACARITA,15,-0.05847464885247394,0.7439385953385852
10,Comisaria Comunal 1,SUIPACHA 1156,RETIRO,1,-0.05512530825270038,0.30721920346681103
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,-0.053549658554600574,0.9160814894386252
41,Comisaria Vecinal 3-B,CATAMARCA 1345,SAN CRISTOBAL,3,-0.05208290510461261,0.5261752227669682
23,Comisaria Comunal 10,CHIVILCOY 453,FLORESTA,10,-0.05152337858232764,0.4875416553897617
29,Comisaria Vecinal 2-B,CHARCAS 2844,RECOLETA,2,-0.037659460730984765,0.08448461920231431
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,-0.03486168369494238,0.2481909351863926
55,Comisaria Comunal 4,ZAVALETA 425,PARQUE PATRICIOS,4,-0.034759861026098716,0.2709137152860394
43,Comisaria Vecinal 1-C (edificio anexo),SAN JOSE 1224,CONSTITUCION,1,-0.034216610611947584,0.04516803558555695
26,Comisaria Vecinal 12-A,MACHAIN 3045,VILLA URQUIZA,12,-0.028848461636815825,0.16504230476817058
8,Comisaria Vecinal 7-B,VALLE 1454,CABALLITO,6,-0.02776129102147864,0.11201626424569106
7,Comisaria Comunal 5,BILLINGHURST 471,ALMAGRO,5,-0.02636869586982904,0.09796422352069777
4,Comisaria Vecinal 1-B,TACUARI 770,MONSERRAT,1,-0.020440298819061488,0.7090978545157708
20,Comisaria Vecinal 9-B,REMEDIOS 3748,PARQUE AVELLANEDA,9,-0.019676167988012673,0.08175181220866796
11,Comisaria Comunal 2,LAS HERAS GENERAL AV. 1861,RECOLETA,2,-0.018682341764788956,0.09095943742648975
24,Comisaria Vecinal 11-B (edificio anexo),NAZCA 4254,VILLA PUEYRREDON,12,-0.006764942374848326,0.014370935671991427
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,-0.0025763125764658333,0.0010677814062885406
5,Comisaria Comunal 3,LAVALLE 1958,BALVANERA,3,0.005584681936313007,0.006235751431845672
19,Comisaria Vecinal 8-B,ESCALADA AV. 4347,VILLA SOLDATI,8,0.01427628477116909,0.0037821355131444465
