modelo,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Logistic Regression,0.05,0.06197133458646616,0.061969641339417514,1.0,0.1167061673335836,0.8894875747578892,2,1037985,0,68573
Logistic Regression,0.06,0.06197223828802776,0.06196969841822851,1.0,0.11670626833031461,0.8894875747578892,3,1037984,0,68573
Logistic Regression,0.07,0.06197223828802776,0.06196969841822851,1.0,0.11670626833031461,0.8894875747578892,3,1037984,0,68573
Logistic Regression,0.08,0.06197404569115095,0.06196981257739802,1.0,0.11670647032635209,0.8894875747578892,5,1037982,0,68573
Logistic Regression,0.09,0.11607775448235973,0.06583710535171258,0.9999123827011559,0.1235038547151764,0.8894875747578892,59880,978107,6,68567
Logistic Regression,0.1,0.1946546052631579,0.0717800150630137,0.9996930807274511,0.1339092372590036,0.8894875747578892,146845,891142,21,68552
Logistic Regression,0.11,0.25301474840948524,0.07657914479773312,0.9990067490291621,0.14224901269978835,0.8894875747578892,211471,826516,68,68505
Logistic Regression,0.12,0.28243204164256797,0.07937449219012611,0.9975478675063268,0.14704206396003636,0.8894875747578892,244123,793864,168,68405
Logistic Regression,0.13,0.3094210887796414,0.08212100683297235,0.9957126386481401,0.15171743988376524,0.8894875747578892,274114,763873,294,68279
Logistic Regression,0.14,0.3370327862926547,0.08509581581505561,0.9930179151102644,0.1567405563494498,0.8894875747578892,304853,733134,479,68094
Logistic Regression,0.15,0.36553643724696355,0.08836655160383379,0.989411558588418,0.16221460697281362,0.8894875747578892,336641,701346,726,67847
Logistic Regression,0.16,0.39422625072296125,0.09191677730463459,0.9853586789822092,0.16810734881285008,0.8894875747578892,368666,669321,1004,67569
Logistic Regression,0.17,0.42332272990167724,0.0957967160801816,0.9806387650422851,0.17448678829132347,0.8894875747578892,401187,636800,1328,67245
Logistic Regression,0.18,0.4516158183921342,0.09989862972213108,0.9756096442929006,0.1811660741958195,0.8894875747578892,432840,605147,1673,66900
Logistic Regression,0.19,0.47911455320994795,0.10422805108691813,0.9701957363552001,0.18814152273020132,0.8894875747578892,463640,574347,2044,66529
Logistic Regression,0.2,0.504926980913823,0.10864090364653464,0.9645402445887651,0.19517136285990444,0.8894875747578892,492591,545396,2432,66141
Logistic Regression,0.21,0.5294877819548872,0.11315685979833338,0.9583017807924664,0.20227710661129367,0.8894875747578892,520197,517790,2860,65713
Logistic Regression,0.22,0.552167076344708,0.1176734882621614,0.9519626295007184,0.20929853131434034,0.8894875747578892,545728,492259,3295,65278
Logistic Regression,0.23,0.5737528918449971,0.12238399691216799,0.9460255816139693,0.21655155045692437,0.8894875747578892,570021,467966,3702,64871
Logistic Regression,0.24,0.5933333935801042,0.1269559665553121,0.9397095480763162,0.2234899166973293,0.8894875747578892,592121,445866,4135,64438
Logistic Regression,0.25,0.6118737348178138,0.1316793969266064,0.9339198069016079,0.23059383054767935,0.8894875747578892,613034,424953,4532,64041
Logistic Regression,0.26,0.6290368348756507,0.13622427440070575,0.9265690930131999,0.23728329339019477,0.8894875747578892,632530,405457,5036,63537
Logistic Regression,0.27,0.6452573742047426,0.140906330975272,0.9197873152163274,0.24410899572969252,0.8894875747578892,650944,387043,5501,63072
Logistic Regression,0.28,0.6600464502602661,0.14545301284158446,0.913004549829928,0.2506405031379807,0.8894875747578892,667774,370213,5966,62607
Logistic Regression,0.29,0.6738848322729901,0.15000284358277938,0.906324407423923,0.25708910714337396,0.8894875747578892,683545,354442,6424,62149
Logistic Regression,0.3,0.6866821500867554,0.1544521590402193,0.8994244375329148,0.2632955258011314,0.8894875747578892,698179,339808,6897,61676
Logistic Regression,0.31,0.6987501807403123,0.15891474801016886,0.8923730122711373,0.26941924549368546,0.8894875747578892,712016,325971,7380,61193
Logistic Regression,0.32,0.709981383747831,0.16333380295705696,0.8854865833135767,0.27539866503129734,0.8894875747578892,724916,313071,7852,60721
Logistic Regression,0.33,0.720655002891845,0.1678899149750679,0.8794175668657642,0.28152735380987987,0.8894875747578892,737143,300844,8268,60305
Logistic Regression,0.34,0.7305496312897629,0.1722283928398926,0.8723771273418144,0.28721130826773245,0.8894875747578892,748575,289412,8751,59822
Logistic Regression,0.35,0.7399408979178717,0.1765503068042499,0.8652166944384854,0.29277481483864276,0.8894875747578892,759458,278529,9242,59331
Logistic Regression,0.36,0.7487574103528052,0.1808510555467397,0.8581050977155023,0.29822324982646664,0.8894875747578892,769702,268285,9730,58843
Logistic Regression,0.37,0.7570823091382302,0.1850477511698811,0.8506304200870023,0.30342084464166363,0.8894875747578892,779426,258561,10242,58331
Logistic Regression,0.38,0.7650628976286871,0.18933967224231407,0.8434254135188667,0.30867091782044215,0.8894875747578892,788751,249236,10736,57837
Logistic Regression,0.39,0.7725247614227878,0.19355050535726218,0.8363079642873112,0.3137351041391506,0.8894875747578892,797496,240491,11224,57349
Logistic Regression,0.4,0.7796242408906883,0.19782444818440076,0.8295994475268081,0.3188145337362349,0.8894875747578892,805812,232175,11684,56889
