threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.05,0.32757464574898787,0.08410759826863731,0.9946992757810765,0.15508282980463928,0.8930764839357224,294272,743715,364,68209
0.06,0.34836068536726433,0.086446964569467,0.9925113815448416,0.15901571988196528,0.8930764839357224,317423,720564,514,68059
0.07,0.36964014603817236,0.08898127533854744,0.9900878184434138,0.16325139098316527,0.8930764839357224,341136,696851,680,67893
0.08,0.3909403918449971,0.09167214972873058,0.9875506319513783,0.1677227983269014,0.8930764839357224,364880,673107,854,67719
0.09,0.41179782388663966,0.09444626086761596,0.9846293060527896,0.17229903070191294,0.8930764839357224,388160,649827,1054,67519
0.1,0.4322278050896472,0.09729972751985512,0.9812941571113104,0.17697110689443174,0.8930764839357224,410995,626992,1282,67291
0.11,0.45177938837478315,0.10020445051736075,0.9780553412996096,0.1816975707919941,0.8930764839357224,432852,605135,1504,67069
0.12,0.4701118782533256,0.1030758975122543,0.9746282152574933,0.18633404195281317,0.8930764839357224,453373,584614,1739,66834
0.13,0.48777562897628685,0.10600100039629294,0.9711532103972569,0.1910241345385677,0.8930764839357224,473157,564830,1977,66596
0.14,0.5044308487565067,0.10889485381859172,0.9674775002226876,0.19562663796017027,0.8930764839357224,491839,546148,2229,66344
0.15,0.520106456043956,0.11178943661712162,0.9640047904542277,0.20019971775412704,0.8930764839357224,509423,528564,2467,66106
0.16,0.5347446139386929,0.11464154101567214,0.9607489020645869,0.20467927800935648,0.8930764839357224,525844,512143,2690,65883
0.17,0.5485893218623482,0.11748809078032238,0.9574679501781397,0.20911502755704325,0.8930764839357224,541389,496598,2915,65658
0.18,0.5615312319259688,0.12023372908077708,0.9538356738490525,0.21335245786817153,0.8930764839357224,555959,482028,3164,65409
0.19,0.5740718984962406,0.12300434522784671,0.9500098868548239,0.2175921215922744,0.8930764839357224,570098,467889,3426,65147
0.2,0.5860007591093117,0.12579073960554168,0.9462066135269607,0.22182255935451645,0.8930764839357224,583559,454428,3687,64886
0.21,0.5977244794679005,0.12865007248051613,0.9422955405840604,0.22613015172970422,0.8930764839357224,596800,441187,3955,64618
0.22,0.6086854757085021,0.13150274212676583,0.9389811120912995,0.23041199161121922,0.8930764839357224,609156,428831,4182,64391
0.23,0.6192750506072875,0.13432919143219918,0.9352397126446675,0.23461122979003682,0.8930764839357224,621130,416857,4438,64135
0.24,0.6294832634470792,0.1371828825508915,0.9314884320743315,0.23881663187432967,0.8930764839357224,632683,405304,4695,63878
0.25,0.6396002024291498,0.14007339540352398,0.927208854389948,0.24302961549669147,0.8930764839357224,644171,393816,4988,63585
0.26,0.6493375867553499,0.14301219666360546,0.9232519602586471,0.24729278994423765,0.8930764839357224,655217,382770,5259,63314
0.27,0.6586583646616542,0.14593843596609415,0.9193142713228235,0.25150371590982623,0.8930764839357224,665801,372186,5529,63044
0.28,0.6678363577212261,0.14887890374689666,0.9146169697209203,0.2556708337344131,0.8930764839357224,676279,361708,5851,62722
0.29,0.6767414329091961,0.15188701703851282,0.9101927542816431,0.25991067702625203,0.8930764839357224,686436,351551,6154,62419
0.3,0.6853753976286872,0.1549881967811379,0.9062080002203041,0.2642677904830751,0.8930764839357224,696263,341724,6427,62146
0.31,0.6935123264893002,0.15798273068440669,0.901904620823666,0.2684201377919975,0.8930764839357224,705562,332425,6722,61851
0.32,0.701618529496819,0.16110835310243646,0.8976014973031103,0.2727233472171492,0.8930764839357224,714827,323160,7017,61556
0.33,0.7093506000578369,0.16421165412591748,0.8931943091824976,0.27694872177962715,0.8930764839357224,723685,314302,7319,61254
0.34,0.7168043305378832,0.16728263535511795,0.8885446583456522,0.28107413461810626,0.8930764839357224,732252,305735,7638,60935
0.35,0.7240104467900521,0.1703185072961187,0.8835274436274666,0.28509350033591935,0.8930764839357224,740570,297417,7982,60591
0.36,0.7311063114517061,0.17346111310455165,0.8787136150715963,0.28923278015434567,0.8930764839357224,748752,289235,8312,60261
0.37,0.7379825766338924,0.1766311688751853,0.8739287555762528,0.2933722560817408,0.8930764839357224,756689,281298,8640,59933
0.38,0.7447278050896472,0.17983732641018216,0.8686686843383798,0.2974864883767666,0.8930764839357224,764514,273473,9001,59572
0.39,0.7512163823019087,0.1830657517087048,0.86349193305919,0.30158363534256377,0.8930764839357224,772049,265938,9356,59217
0.4,0.7574465008675535,0.18631631605829985,0.8585415224782531,0.3056805243918522,0.8930764839357224,779283,258704,9696,58877
0.41,0.7637127674956623,0.18978060660115662,0.8538486807761039,0.3100327655124637,0.8930764839357224,786539,251448,10018,58555
0.42,0.7696401460381723,0.19302672056595743,0.8480733528080238,0.31396703424531214,0.8930764839357224,793494,244493,10414,58159
0.43,0.7754654063042221,0.19637913985292088,0.8424931914331341,0.3180109847615812,0.8930764839357224,800323,237664,10797,57776
0.44,0.781169570561018,0.19991006434297115,0.8375974900708222,0.3222786147434397,0.8930764839357224,806971,231016,11133,57440
0.45,0.7866685945633314,0.20330928138264767,0.8317370969738969,0.3262472797391757,0.8930764839357224,813458,224529,11535,57038
0.46,0.7921323742047426,0.20684291939392038,0.8257747485767359,0.33032080898621763,0.8930764839357224,819913,218074,11944,56629
0.47,0.7974786726431463,0.21042151931767647,0.81955025748059,0.33435988627662494,0.8930764839357224,826256,211731,12371,56202
0.48,0.8027852082128397,0.2141892050050856,0.8135753254270952,0.33859442818193997,0.8930764839357224,832538,205449,12781,55792
0.49,0.8079037738577212,0.21792754096465067,0.8072520503782723,0.34269421063845174,0.8930764839357224,838636,199351,13215,55358
0.5,0.8128759398496241,0.22178010488962813,0.8012942678733752,0.34689550804519104,0.8930764839357224,844547,193440,13624,54949
0.51,0.8178264170040486,0.2257654041376233,0.7949108202531813,0.35113780817860685,0.8930764839357224,850463,187524,14062,54511
0.52,0.8225934427414691,0.22979458372876463,0.7887163083436219,0.35536828976774676,0.8930764839357224,856163,181824,14487,54086
0.53,0.8272601576055523,0.23383851941824546,0.7819121458950968,0.35946768783124616,0.8930764839357224,861794,176193,14954,53619
0.54,0.8319368131868131,0.23815283387526726,0.7753414172401117,0.36382368016037747,0.8930764839357224,867420,170567,15405,53168
0.55,0.8365258097165992,0.24242601940638756,0.7677627629934681,0.36792078935002714,0.8930764839357224,873018,164969,15925,52648
0.56,0.841019013880856,0.24697840543485058,0.7608271655388305,0.3722972894722254,0.8930764839357224,878466,159521,16401,52172
0.57,0.845341418449971,0.2514112137314163,0.7529846458469198,0.37632135860416044,0.8930764839357224,883787,154200,16939,51634
0.58,0.849746963562753,0.25620738337255916,0.7451818106261152,0.38063572100985743,0.8930764839357224,889197,148790,17474,51099
0.59,0.8540106275303643,0.2610493228648766,0.7371147391888139,0.38484414964794206,0.8930764839357224,894468,143519,18027,50546
0.6,0.8581712695199538,0.26600389712367384,0.7288511443419669,0.38900745881923515,0.8930764839357224,899639,138348,18594,49979
