feature,shap_importance_mean_abs,shap_mean
promedio_historico_grid,1.2460823,-0.9352263
promedio_6_meses_franja,0.29917344,-0.16443212
promedio_6_meses_grid,0.26822117,-0.18599324
promedio_historico_franja,0.22531767,-0.18053256
anio,0.1251126,-0.027235672
promedio_3_meses_franja,0.09787192,-0.0577208
mes_num,0.0929492,-0.029915616
dist_min_colectivos_m,0.09279054,-0.06449005
promedio_3_meses_grid,0.09160549,-0.05858272
delitos_historicos_franja,0.07943604,-0.06740358
promedio_historico_mes_calendario_grid,0.07110482,-0.02946521
promedio_historico_trimestre_grid,0.06635234,-0.025242697
dist_min_gastronomia_m,0.052856624,-0.02698687
cant_colectivos,0.050198164,-0.022883734
dist_min_comisarias_m,0.046507653,-0.032980416
delitos_historicos_grid,0.04535691,0.006728026
dist_min_alojamientos_m,0.04207881,0.0032549554
dist_min_cajeros_m,0.0375858,-0.010875005
area_interseccion_caba_m2,0.036959194,-0.033130106
dist_min_estaciones_tren_m,0.031951264,-0.023401152
promedio_historico_trimestre_franja,0.02991639,-0.02025818
cant_alojamientos,0.028439375,-0.013268527
delitos_mes_anterior_grid,0.025631515,-0.010948295
promedio_historico_mes_calendario_franja,0.015402976,-0.0021828944
hotspot_mes_anterior_franja,0.01484339,-0.006345629
trimestre,0.0112038525,-0.0029889713
hotspot_mes_anterior_grid,0.008878102,0.00013613043
delitos_mes_anterior_franja,0.008607614,-0.0023660334
cant_gastronomia,0.008454737,0.0013015367
cant_cajeros,0.0043614646,-0.0021923995
porcentaje_en_caba,0.0033723493,-0.0012443425
semestre,0.00065566355,-0.00018063786
cant_comisarias,0.00060031714,-0.0002869978
cant_estaciones_tren,4.650008e-05,-1.2056673e-05
area_celda_m2,0.0,0.0
